comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,8,2,4,0.0005496399183499423,0.0005260512829119435
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,8,3,6,-0.0008973881741869416,-0.001416067806100929
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,8,2,1,1.6237614779020983,1.0564677004690686
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,8,4,6,-0.33729190392725317,-0.5123284544072043
