comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win,dataset,horizon,segment
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.2568356692790985,0.25765499472618103,-0.3179932327542323,True,0.33085498213768005,0.32755622267723083,1.0070819090192584,False,ETTh2,720,1-96
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.37120500206947327,0.36472949385643005,1.7754276311945816,False,0.42113229632377625,0.4195225238800049,0.3837153793038839,False,ETTh2,720,193-336
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.471087247133255,0.4833683371543884,-2.5407311727186688,True,0.48699912428855896,0.4948052763938904,-1.577621031493881,True,ETTh2,720,337-720
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.34194517135620117,0.3381696045398712,1.116471369881733,False,0.39061444997787476,0.38884836435317993,0.45418363212934576,False,ETTh2,720,97-192
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.14865882694721222,0.1500176340341568,-0.9057649093673903,True,0.1976386308670044,0.2002224326133728,-1.2904656649326052,True,Weather,720,1-96
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.32174694538116455,0.3157244324684143,1.9075219696064405,False,0.33598899841308594,0.33473527431488037,0.37454197224109365,False,Weather,720,193-336
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.40329644083976746,0.3919121026992798,2.90481923423096,False,0.38331225514411926,0.3804328441619873,0.7568776004276634,False,Weather,720,337-720
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.23658229410648346,0.23478010296821594,0.7676081215926001,False,0.2822139263153076,0.2819523513317108,0.09277276190864381,False,Weather,720,97-192
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.2568356692790985,0.2568359673023224,-0.0001160364052621432,True,0.33085498213768005,0.3308553695678711,-0.00011709956273531219,True,ETTh2,720,1-96
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.37120500206947327,0.3712043762207031,0.00016859951288417108,False,0.42113229632377625,0.42113208770751953,4.9537012913880574e-05,False,ETTh2,720,193-336
