comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win,dataset,horizon
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.30038490891456604,0.30893898010253906,-2.768854608484128,True,0.360678106546402,0.364199161529541,-0.9667938191706749,True,ETTh2,96
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.36004477739334106,0.36851921677589417,-2.29959225917562,True,0.3976546823978424,0.403163880109787,-1.3664908945822063,True,ETTh2,192
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.38481152057647705,0.383066326379776,0.4555853847019842,False,0.41790634393692017,0.4179953932762146,-0.021303904475233892,True,ETTh2,336
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.4053249657154083,0.4101856052875519,-1.1849854089189926,True,0.4401552379131317,0.44332125782966614,-0.7141592830522181,True,ETTh2,720
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.14961323142051697,0.1509237140417099,-0.8683079590996345,True,0.19720035791397095,0.1995583176612854,-1.181589309304898,True,Weather,96
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.19565090537071228,0.1951702982187271,0.24625014993140404,False,0.23979008197784424,0.2407691329717636,-0.4066347632834644,True,Weather,192
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.25145596265792847,0.24785242974758148,1.4539025959991125,False,0.28124263882637024,0.280915766954422,0.11635938968184156,False,Weather,336
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,0.33080628514289856,0.3234710395336151,2.2676668736278494,False,0.33561134338378906,0.3341345191001892,0.44198494892921936,False,Weather,720
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.30038490891456604,0.30038490891456604,0.0,False,0.360678106546402,0.36067816615104675,-1.6525714718884643e-05,True,ETTh2,96
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.36004477739334106,0.3600446879863739,2.4832186151790836e-05,False,0.3976546823978424,0.3976547122001648,-7.4945226247180585e-06,True,ETTh2,192
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.38481152057647705,0.38481107354164124,0.00011616995105878658,False,0.41790634393692017,0.417906254529953,2.1394024662946265e-05,False,ETTh2,336
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,0.4053249657154083,0.4053248167037964,3.676350566195197e-05,False,0.4401552379131317,0.4401552379131317,0.0,False,ETTh2,720
