comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,4,2,4,0.00014716932350833378,-0.0002194338402872198,ETTh2
selective_anchor_vs_floor005_r3,F2-A1,F2-A1_r3_floor000,F1-A1,F1-A1_r3_floor005,4,0,0,0.0009521105131915508,0.0012715364061111067,Weather
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,4,0,2,4.4441410718132346e-05,-6.565531701641092e-07,ETTh2
selective_anchor_vs_floor005_single,F2-A0,F2-A0_single_prefix_floor000,F1-A0,F1-A0_single_prefix_floor005,4,3,4,-0.0018392177590920156,-0.002831479059031694,Weather
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,4,0,0,3.305851669602938,1.2696049771338258,ETTh2
selective_anchor_vs_r3_base,F2-A1,F2-A1_r3_floor000,F1-C1,F1-C1_r3_base,4,2,1,-0.058328713798741494,0.8433304238043116,Weather
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,4,3,4,-1.4494617229691893,-0.7671869753200833,ETTh2
selective_anchor_vs_single_prefix_base,F2-A0,F2-A0_single_prefix_floor000,F1-C0,F1-C0_single_prefix_base,4,1,2,0.7748779151146828,-0.25746993349432534,Weather
