length,global_rank,horizon,active_atoms,coefficient_subset_max_abs,prefix_reconstruction_max_abs,active_order_permutation_max_abs
16,4,1,12,0.0,0.0,7.105427357601002e-15
16,4,2,12,0.0,4.440892098500626e-15,1.4210854715202004e-14
16,4,4,12,0.0,2.842170943040401e-14,2.842170943040401e-14
16,4,8,12,0.0,0.0,2.842170943040401e-14
16,4,16,16,0.0,0.0,2.842170943040401e-14
96,8,1,36,5.684341886080802e-14,1.4210854715202004e-14,4.263256414560601e-14
96,8,12,36,5.684341886080802e-14,5.684341886080802e-14,7.105427357601002e-14
96,8,24,40,5.684341886080802e-14,5.684341886080802e-14,1.1368683772161603e-13
96,8,48,56,5.684341886080802e-14,5.684341886080802e-14,8.526512829121202e-14
96,8,96,96,0.0,0.0,1.1368683772161603e-13
720,16,1,102,0.0,2.842170943040401e-14,1.1368683772161603e-13
720,16,48,131,0.0,0.0,2.8421709430404007e-13
720,16,90,138,0.0,0.0,2.5579538487363607e-13
720,16,96,176,0.0,0.0,3.410605131648481e-13
720,16,144,205,0.0,0.0,3.410605131648481e-13
720,16,180,212,0.0,0.0,2.8421709430404007e-13
720,16,192,266,0.0,0.0,2.2737367544323206e-13
720,16,336,369,0.0,0.0,4.547473508864641e-13
720,16,360,376,0.0,0.0,3.410605131648481e-13
720,16,512,549,0.0,0.0,2.8421709430404007e-13
720,16,720,720,0.0,0.0,3.979039320256561e-13
721,16,1,102,0.0,7.105427357601002e-14,4.263256414560601e-14
721,16,48,131,0.0,0.0,1.4210854715202004e-13
721,16,90,138,0.0,0.0,2.2737367544323206e-13
721,16,96,176,0.0,0.0,9.947598300641403e-14
721,16,144,205,0.0,0.0,1.4210854715202004e-13
721,16,180,212,0.0,0.0,1.9895196601282805e-13
721,16,192,266,0.0,0.0,1.7053025658242404e-13
721,16,336,369,0.0,0.0,1.7053025658242404e-13
721,16,360,376,0.0,0.0,1.4210854715202004e-13
721,16,512,549,0.0,0.0,1.4210854715202004e-13
721,16,720,721,0.0,0.0,1.7053025658242404e-13
721,16,721,721,0.0,0.0,1.7053025658242404e-13
