rank,dataset,split,validation_window_index,raw_forecast_origin,channel,selection_score_scaled_mse,selection_separated_by_min_gap,mse_scaled_h96,mse_scaled_h192,mse_scaled_h336,mse_scaled_h720
1,Weather,val,3914,40800,0,0.03122270666062832,True,0.0034533124417066574,0.007360722869634628,0.03141787648200989,0.08265891671180725
2,Weather,val,0,36886,0,0.05384893715381622,True,0.005312379449605942,0.02126704901456833,0.025144582614302635,0.16367174685001373
