dataset,future_region,scope,validation_rows,mean_probability,highest_weight,split
ETTm1,1–48,1,75607,0.2103588980,1,validation
ETTm1,1–48,48,75607,0.2085200498,0,validation
ETTm1,1–48,144,75607,0.1997014182,0,validation
ETTm1,1–48,360,75607,0.1894727160,0,validation
ETTm1,1–48,720,75607,0.1919469432,0,validation
ETTm1,49–96,1,75607,0.2087242365,1,validation
ETTm1,49–96,48,75607,0.2070117263,0,validation
ETTm1,49–96,144,75607,0.2003459799,0,validation
ETTm1,49–96,360,75607,0.1908945448,0,validation
ETTm1,49–96,720,75607,0.1930235378,0,validation
ETTm1,97–144,1,75607,0.2061265794,1,validation
ETTm1,97–144,48,75607,0.2045794689,0,validation
ETTm1,97–144,144,75607,0.2011822403,0,validation
ETTm1,97–144,360,75607,0.1932315355,0,validation
ETTm1,97–144,720,75607,0.1948802009,0,validation
ETTm1,145–192,1,75607,0.2035062690,1,validation
ETTm1,145–192,48,75607,0.2020435887,0,validation
ETTm1,145–192,144,75607,0.2017460134,0,validation
ETTm1,145–192,360,75607,0.1957265440,0,validation
ETTm1,145–192,720,75607,0.1969776100,0,validation
ETTm1,193–288,1,75607,0.2012793968,0,validation
ETTm1,193–288,48,75607,0.1999606557,0,validation
ETTm1,193–288,144,75607,0.2017009990,1,validation
ETTm1,193–288,360,75607,0.1980447327,0,validation
ETTm1,193–288,720,75607,0.1990142410,0,validation
ETTm1,289–336,1,75607,0.2015060503,1,validation
ETTm1,289–336,48,75607,0.2006277073,0,validation
ETTm1,289–336,144,75607,0.2010682184,0,validation
ETTm1,289–336,360,75607,0.1980049227,0,validation
ETTm1,289–336,720,75607,0.1987931264,0,validation
ETTm1,337–512,1,75607,0.2042851255,1,validation
ETTm1,337–512,48,75607,0.2040111487,0,validation
ETTm1,337–512,144,75607,0.1997678509,0,validation
ETTm1,337–512,360,75607,0.1953969757,0,validation
ETTm1,337–512,720,75607,0.1965389278,0,validation
ETTm1,513–720,1,75607,0.1979082029,0,validation
ETTm1,513–720,48,75607,0.1978811740,0,validation
ETTm1,513–720,144,75607,0.1983002066,0,validation
ETTm1,513–720,360,75607,0.2004595781,0,validation
ETTm1,513–720,720,75607,0.2054508757,1,validation
ETTm2,1–48,1,75607,0.1920724933,0,validation
ETTm2,1–48,48,75607,0.1924772562,0,validation
ETTm2,1–48,144,75607,0.1968345493,0,validation
ETTm2,1–48,360,75607,0.2038281671,0,validation
ETTm2,1–48,720,75607,0.2147875595,1,validation
ETTm2,49–96,1,75607,0.1937374452,0,validation
ETTm2,49–96,48,75607,0.1939781315,0,validation
ETTm2,49–96,144,75607,0.1986889947,0,validation
ETTm2,49–96,360,75607,0.2012985060,0,validation
ETTm2,49–96,720,75607,0.2122969479,1,validation
ETTm2,97–144,1,75607,0.1964681803,0,validation
ETTm2,97–144,48,75607,0.1964155545,0,validation
ETTm2,97–144,144,75607,0.2016985244,0,validation
