dataset,probe_row,future_region,lowest_mse_scope,lowest_mse,best_to_worst_excess_mse_percent,split
ETTh1,107,1–48,360,0.317299306393,86.74630626,validation
ETTh1,107,49–96,720,0.451386779547,48.11349537,validation
ETTh1,107,97–144,1,0.715306639671,51.18567395,validation
ETTh1,107,145–192,1,0.278555124998,57.24676329,validation
ETTh1,107,193–288,360,0.381373822689,7.14085776,validation
ETTh1,107,289–336,144,0.278701663017,30.65807669,validation
ETTh1,107,337–512,1,0.503983318806,84.43213520,validation
ETTh1,107,513–720,48,1.07905673981,29.29228095,validation
