dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_a2_nested_pct,beats_a2_nested,relative_mae_vs_a2_nested_pct,relative_mse_vs_a3c_warm_pct,beats_a3c_warm,relative_mae_vs_a3c_warm_pct,relative_mse_vs_h1_target_set_pct,beats_h1_target_set,relative_mae_vs_h1_target_set_pct,relative_mse_vs_h1c_row_gated_pct,beats_h1c_row_gated,relative_mae_vs_h1c_row_gated_pct,relative_mse_vs_fixed_pct,beats_fixed,relative_mae_vs_fixed_pct
ETTm2,teacher_preserved_nested_w03,336,0.26630938053131104,0.31764844059944153,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.12943299027410315,False,-0.12429045322067678,-0.020128313241751794,True,0.04147701343728549,-0.000693828795728102,True,0.08884358908192169,0.22547720849726005,False,0.0008631672552716907,1.1423858318757585,False,0.21987509507406244
ETTm2,teacher_preserved_nested_w03,720,0.34165704250335693,0.36983245611190796,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3157237902920551,False,-0.05060487035833949,-0.4021148539411268,True,-0.18104852740816746,-0.08909451888742259,True,0.046784370650243545,0.2897124142605012,False,0.024930630701436307,-0.5557341518266479,True,-0.47596950676990213
ETTm2,teacher_preserved_nested_w10,96,0.16176101565361023,0.2468908280134201,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.14010890981727142,True,-0.36030361411352185,0.8780694329989069,False,0.4611731487226045,0.34829246287642057,False,0.27712658903402687,0.2133582263572631,False,-0.09004735792742524,4.411009113602726,False,2.3881179932289553
ETTm2,teacher_preserved_nested_w10,192,0.2158314287662506,0.28380587697029114,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.1357593539798918,False,-0.141310875432199,0.4249975993047217,False,0.2684193613192276,0.12700965841638823,False,0.20275312415953817,0.32012089223265594,False,0.036766849327873885,2.660073662749629,False,1.1219472102796502
ETTm2,teacher_preserved_nested_w10,336,0.266506165266037,0.31791603565216064,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.20342191199340665,False,-0.040152638122026296,0.05375009272561293,False,0.12575447522802374,0.0731989379495479,False,0.17316095366985973,0.29953710043915116,False,0.08510641491830118,1.217123257668895,False,0.30430284390532414
ETTm2,teacher_preserved_nested_w10,720,0.3417331576347351,0.3700127601623535,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.33807235492180343,False,-0.0018766409029868925,-0.37992621103379864,True,-0.13238389301952758,-0.06683614059939114,True,0.09556008018565265,0.3120551840168462,False,0.07369568590467335,-0.5335797325751623,True,-0.4274486549137646
Weather,teacher_preserved_nested_w03,96,0.14134001731872559,0.18091459572315216,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.03253504530598139,False,-0.24717655993230503,-0.01017274373024124,True,-0.2926430983606565,-0.17982047419270453,True,-0.1108483266123339,-0.05987871898948116,True,-0.31428862086839704,0.650315798699963,False,1.473207703857038
Weather,teacher_preserved_nested_w03,192,0.18227648735046387,0.2224266678094864,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.11205209172886477,True,-0.24955652327613986,-0.2849683786018242,True,-0.4984807934577007,-0.08030420025030294,True,-0.006203221696110539,-0.1710963049808556,True,-0.31161800201036094,0.023173409551002777,False,1.0668186040716954
Weather,teacher_preserved_nested_w03,336,0.2317049652338028,0.2628192901611328,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.01651134085338679,False,-0.22426694622911247,-0.3465306051298134,True,-0.6514671190931631,-0.056362467031911834,True,-0.0037759019217986634,-0.04699562274117497,True,-0.2598023032388541,-0.40840385155607173,True,0.23352487995849103
Weather,teacher_preserved_nested_w03,720,0.30363714694976807,0.31381863355636597,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.09885727591318894,False,-0.14016405833177092,-0.4660574098790615,True,-0.6486516576711177,0.02070435448211505,False,0.020659526164501507,-0.04785519829298979,True,-0.18695266958990153,-1.0233335674568633,True,-0.889163935159154
Weather,teacher_preserved_nested_w10,96,0.1415686011314392,0.18131838738918304,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.19431384433146182,False,-0.024533612816046713,0.15153698561889417,False,-0.07010163011749171,-0.018385109639762476,True,0.11209889780250393,0.1017506227839915,False,-0.09179546426951735,0.8130937109469549,False,1.6996904562986304
Weather,teacher_preserved_nested_w10,192,0.1825082004070282,0.22276391088962555,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.014927213502424763,False,-0.09831500563514117,-0.15820888757663853,True,-0.34761669453372557,0.04671546345553779,False,0.14540726796516967,-0.04419205778541935,True,-0.16047058191823727,0.15032461580302137,False,1.2200560082983314
Weather,teacher_preserved_nested_w10,336,0.23195330798625946,0.2631307542324066,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.12370962938568209,False,-0.10602389027912773,-0.23972142710290134,True,-0.5337303330787302,0.05075771492200065,False,0.11472845538964549,0.06013459865186199,False,-0.14160135982544952,-0.3016609896407063,True,0.3523104596550697
Weather,teacher_preserved_nested_w10,720,0.30382251739501953,0.3140564560890198,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.15996761741390308,False,-0.06448684686440886,-0.4052919487327111,True,-0.5733597955608905,0.08176698363275836,False,0.0964586152646163,0.01316557525814499,False,-0.11131091613822974,-0.9629083233442248,True,-0.814054341508641
