dataset,arm,settings,wins_vs_a2_nested,mean_relative_mse_vs_a2_nested_pct,wins_vs_a3c_warm,mean_relative_mse_vs_a3c_warm_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_h1c_row_gated,mean_relative_mse_vs_h1c_row_gated_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,teacher_preserved_nested_w03,4,4,-2.064397888301558,4,-2.0886928162718115,2,-0.17354353469529737,4,-1.589685560339707,4,-12.819104814115862
ETTh2,teacher_preserved_nested_w10,4,4,-2.123723083796464,4,-2.144449444226581,4,-0.23483498165535188,4,-1.6505789163156095,4,-12.85928764428737
ETTm2,teacher_preserved_nested_w03,4,1,0.06862690716495645,2,0.17836530932655859,2,0.054707940392936805,0,0.2204818837783451,1,1.871404676976987
ETTm2,teacher_preserved_nested_w10,4,1,0.13428617776945762,1,0.24422272849886073,1,0.12041622966074139,0,0.2862678507614791,1,1.938656575361522
Weather,teacher_preserved_nested_w03,4,1,0.008962892585923088,4,-0.2769322843352351,3,-0.07394569674820106,4,-0.08145646125112538,2,-0.1895620526904923
Weather,teacher_preserved_nested_w10,4,0,0.12322957615836794,3,-0.1629213194483392,1,0.04021376309263358,1,0.03271468472714478,2,-0.07528774655873871
ALL,teacher_preserved_nested_w03,12,6,-0.662269362850226,10,-0.729086597093496,7,-0.0642604303501872,8,-0.4835533792708291,7,-3.712420729943123
ALL,teacher_preserved_nested_w10,12,5,-0.6220691099562129,8,-0.6877160117253531,6,-0.02473499630065897,5,-0.4438654602756618,7,-3.665306271828196
