dataset,readout_dim,a6_readout_parameters,japo_expert_bank_parameters,japo_router_parameters,japo_to_a6_readout_ratio,expert_pair_max_abs_difference,initial_gate_entropy,initial_expert_usage_min,initial_expert_usage_max,uniform_control_max_abs,minimum_control_functional_effect,prefix_projectivity_max_abs,all_joint_gradients_finite,all_joint_gradients_nonzero,uniform_variance_ratio_theory
ETTh1,1536,578512,1157024,49536,2.0856265730010786,0.05097812282865418,0.9999796433180659,0.49944281559968356,0.5005571844003164,0.0,0.0008210930631749559,2.7755575615628914e-16,True,True,1.0
ETTh2,768,381904,763808,24960,2.065356738866312,0.07200228856403185,0.9999787656575816,0.4991461584942267,0.5008538415057733,0.0,0.0012321533295382666,3.3306690738754696e-16,True,True,1.0
ETTm1,768,381904,763808,24960,2.065356738866312,0.07202880196023737,0.9999616494549993,0.49800338258725524,0.5019966174127447,0.0,0.0014930435165249457,1.6653345369377348e-16,True,True,1.0
ETTm2,3072,971728,1943456,98688,2.1015592840794954,0.0360398987373378,0.9998551321463521,0.49947988339149907,0.5005201166085009,0.0,0.0011314013450276486,2.7755575615628914e-16,True,True,1.0
Weather,768,381904,763808,24960,2.065356738866312,0.07200925261635382,0.9999648541124291,0.49966002593180775,0.5003399740681922,0.0,0.0009320826391752681,3.0531133177191805e-16,True,True,1.0
