arm,selector,overall_mean_mse_vs_a6_pct,max_horizon_mse_vs_a6_pct,ETTh2_mean_mse_vs_a6_pct,ETTm1_mean_mse_vs_a6_pct,Weather_mean_mse_vs_a6_pct,overall_mean_mse_vs_fixed_pct,wins_vs_fixed,ETTh2_wins_vs_fixed,ETTm1_wins_vs_fixed,Weather_wins_vs_fixed,gate_pass
gamp_p16s8,last,5.370364099512997,12.261288013565874,8.231729602774779,1.0976891766266539,6.78167351913756,0.24844878173819931,5,3,2,0,0
gamp_p16s8,best_val,3.752627773428591,6.182793634495409,2.7970520863180526,2.974385075408631,5.4864461585590885,0.027222118793118866,4,3,1,0,0
gamp_p48s24,last,5.867191755150725,12.200540509231562,4.5325746206920146,2.0465250332928617,11.022475611467298,0.9621192487812967,4,3,1,0,0
gamp_p48s24,best_val,4.732554504819872,9.632205446938148,3.9605381496847114,1.9256776492502514,8.31144771552465,0.9820380427006947,4,3,1,0,0
validation_selected,last,5.867191755150725,12.200540509231562,4.5325746206920146,2.0465250332928617,11.022475611467298,0.9621192487812967,4,3,1,0,0
validation_selected,best_val,4.732554504819872,9.632205446938148,3.9605381496847114,1.9256776492502514,8.31144771552465,0.9820380427006947,4,3,1,0,0
