arm,selector,dataset,target_horizon,candidate_mse,a6_mse,relative_mse_vs_a6_pct,candidate_mae,a6_mae,relative_mae_vs_a6_pct,fixed_mse,relative_mse_vs_fixed_pct,wins_vs_fixed
gamp_p16s8,last,ETTh2,96,0.25552982091903687,0.23410549759864807,9.151567793217218,0.3234606981277466,0.3088265359401703,4.738634956683718,0.2697129249572754,-5.258592646416648,1
gamp_p16s8,last,ETTh2,192,0.3099350929260254,0.27608367800712585,12.261288013565874,0.36389774084091187,0.3405723571777344,6.8488775355906695,0.33459872007369995,-7.371106243993419,1
gamp_p16s8,last,ETTh2,336,0.33814817667007446,0.3104460537433624,8.923329059164864,0.38818037509918213,0.3697926998138428,4.972427875021834,0.37489190697669983,-9.801153245196371,1
gamp_p16s8,last,ETTh2,720,0.409183531999588,0.39885038137435913,2.590733545151158,0.4388471245765686,0.4323687255382538,1.4983505178941536,0.40325209498405457,1.4709004836708894,0
gamp_p16s8,last,ETTm1,96,0.27551373839378357,0.27276551723480225,1.0075398044598227,0.33457791805267334,0.33084431290626526,1.1285081836863498,0.27859950065612793,-1.1075979156736082,1
gamp_p16s8,last,ETTm1,192,0.31442853808403015,0.3091461658477783,1.7086973153187524,0.3590438961982727,0.35286661982536316,1.750598108703727,0.32211652398109436,-2.3867095677201022,1
gamp_p16s8,last,ETTm1,336,0.3512895107269287,0.34693026542663574,1.2565191725006253,0.3803940415382385,0.3737157881259918,1.7869872305194878,0.34985053539276123,0.4113114569203047,0
gamp_p16s8,last,ETTm1,720,0.4100768268108368,0.40836983919143677,0.4180004142274152,0.4094993770122528,0.4053221046924591,1.0306056026633925,0.4067089557647705,0.8280788997462318,0
gamp_p16s8,last,Weather,96,0.1508646160364151,0.14136819541454315,6.717508555601892,0.19149631261825562,0.18159954249858856,5.449777011274115,0.14042679965496063,7.432923350173182,0
gamp_p16s8,last,Weather,192,0.19657644629478455,0.18240033090114594,7.7719789890740465,0.23637640476226807,0.22314205765724182,5.930906635877187,0.1822342574596405,7.870193582192098,0
gamp_p16s8,last,Weather,336,0.248674213886261,0.2316502183675766,7.34900905280873,0.2774127721786499,0.26356613636016846,5.253571649872257,0.2326551377773285,6.885330907355325,0
gamp_p16s8,last,Weather,720,0.319071501493454,0.3030458390712738,5.288197479065571,0.32521191239356995,0.3143439292907715,3.4573542194115126,0.3067764937877655,4.007806319800511,0
gamp_p16s8,best_val,ETTh2,96,0.2573280930519104,0.24386686086654663,5.51991038779569,0.3230147063732147,0.3163817822933197,2.096493682985079,0.2697129249572754,-4.591857029961332,1
gamp_p16s8,best_val,ETTh2,192,0.29852139949798584,0.28923195600509644,3.2117624971998993,0.35216963291168213,0.34955501556396484,0.7479845035262667,0.33459872007369995,-10.782264967351818,1
gamp_p16s8,best_val,ETTh2,336,0.3323596715927124,0.3255334496498108,2.096934109304227,0.3804876506328583,0.3798920214176178,0.15678908259715296,0.37489190697669983,-11.345199667548677,1
gamp_p16s8,best_val,ETTh2,720,0.4106384813785553,0.4091671109199524,0.3596013509723939,0.43603891134262085,0.4393719434738159,-0.7585901149816388,0.40325209498405457,1.831704406840795,0
gamp_p16s8,best_val,ETTm1,96,0.2849516272544861,0.272219717502594,4.677071105905761,0.34015026688575745,0.3307173252105713,2.8522671647698283,0.27859950065612793,2.280020812455974,0
gamp_p16s8,best_val,ETTm1,192,0.3189551532268524,0.30874696373939514,3.306328704846373,0.3619707226753235,0.35277652740478516,2.606237818081558,0.32211652398109436,-0.9814370014831986,1
gamp_p16s8,best_val,ETTm1,336,0.35457369685173035,0.3464335501194,2.3496993087201767,0.3819942772388458,0.3736240863800049,2.240270679532097,0.34985053539276123,1.3500512307824897,0
gamp_p16s8,best_val,ETTm1,720,0.4141850769519806,0.4078052043914795,1.5644411821622128,0.4123166799545288,0.4052598476409912,1.7413105084590264,0.4067089557647705,1.838199302287813,0
gamp_p16s8,best_val,Weather,96,0.14934882521629333,0.14106884598731995,5.869459816604472,0.19039493799209595,0.18174318969249725,4.760425033937787,0.14042679965496063,6.353506298836686,0
gamp_p16s8,best_val,Weather,192,0.19366857409477234,0.1823916733264923,6.182793634495409,0.23430205881595612,0.2234610915184021,4.85138921674928,0.1822342574596405,6.274515447604134,0
gamp_p16s8,best_val,Weather,336,0.24470815062522888,0.2317972332239151,5.569918683559916,0.27485159039497375,0.26390954852104187,4.146133376094752,0.2326551377773285,5.1806347210076265,0
gamp_p16s8,best_val,Weather,720,0.31573066115379333,0.3026454448699951,4.323612499576557,0.3233727216720581,0.31428512930870056,2.89151204301219,0.3067764937877655,2.918791872046933,0
gamp_p48s24,last,ETTh2,96,0.2474440336227417,0.23410549759864807,5.697660311660546,0.321843683719635,0.3088265359401703,4.2150353886644565,0.2697129249572754,-8.25651619701253,1
gamp_p48s24,last,ETTh2,192,0.29186856746673584,0.27608367800712585,5.717429430653476,0.3581569492816925,0.3405723571777344,5.163247026176365,0.33459872007369995,-12.770566664914984,1
gamp_p48s24,last,ETTh2,336,0.3180351257324219,0.3104460537433624,2.4445702876716657,0.38269585371017456,0.3697926998138428,3.489293840258978,0.37489190697669983,-15.166179953789104,1
gamp_p48s24,last,ETTh2,720,0.4158838391304016,0.39885038137435913,4.2706384527823715,0.44570744037628174,0.4323687255382538,3.085032300017221,0.40325209498405457,3.1324683252659913,0
gamp_p48s24,last,ETTm1,96,0.27982279658317566,0.27276551723480225,2.587306276804169,0.33714187145233154,0.33084431290626526,1.9034809728920798,0.27859950065612793,0.43908762369162524,0
gamp_p48s24,last,ETTm1,192,0.31661608815193176,0.3091461658477783,2.416307601185519,0.3612610101699829,0.35286661982536316,2.3789131283582954,0.32211652398109436,-1.7075919487711366,1
gamp_p48s24,last,ETTm1,336,0.3535093367099762,0.34693026542663574,1.8963670624844164,0.3825061023235321,0.3737157881259918,2.3521388383454633,0.34985053539276123,1.0458184130281323,0
gamp_p48s24,last,ETTm1,720,0.4136219620704651,0.40836983919143677,1.2861191926973436,0.4123972952365875,0.4053221046924591,1.7455723391885503,0.4067089557647705,1.699742827815398,0
gamp_p48s24,last,Weather,96,0.15687225759029388,0.14136819541454315,10.967150093616995,0.19709540903568268,0.18159954249858856,8.53298765178032,0.14042679965496063,11.711053713209306,0
gamp_p48s24,last,Weather,192,0.20465415716171265,0.18240033090114594,12.200540509231562,0.2420792281627655,0.22314205765724182,8.48659849440494,0.1822342574596405,12.302790932181074,0
gamp_p48s24,last,Weather,336,0.25988051295280457,0.2316502183675766,12.186603916959339,0.28304699063301086,0.26356613636016846,7.391258430188241,0.2326551377773285,11.702030496972382,0
gamp_p48s24,last,Weather,720,0.32951873540878296,0.3030458390712738,8.735607926061295,0.32974815368652344,0.3143439292907715,4.900436420231569,0.3067764937877655,7.413293417699407,0
gamp_p48s24,best_val,ETTh2,96,0.2629695236682892,0.24386686086654663,7.8332343861170495,0.3291851282119751,0.3163817822933197,4.046802513674863,0.2697129249572754,-2.500214363124942,1
gamp_p48s24,best_val,ETTh2,192,0.3008444607257843,0.28923195600509644,4.014945264375713,0.35654616355895996,0.34955501556396484,2.0000136412620995,0.33459872007369995,-10.087982207607016,1
gamp_p48s24,best_val,ETTh2,336,0.333965539932251,0.3255334496498108,2.5902377440815805,0.3845156133174896,0.3798920214176178,1.2170805489987169,0.37489190697669983,-10.916844637831169,1
gamp_p48s24,best_val,ETTh2,720,0.4149107336997986,0.4091671109199524,1.4037352041645024,0.4413445293903351,0.4393719434738159,0.44895582110302534,0.40325209498405457,2.8911539111049267,0
gamp_p48s24,best_val,ETTm1,96,0.2806592583656311,0.272219717502594,3.10026802630734,0.3385232090950012,0.3307173252105713,2.360288769105101,0.27859950065612793,0.7393257003879272,0
gamp_p48s24,best_val,ETTm1,192,0.31550130248069763,0.30874696373939514,2.1876615917115982,0.36072856187820435,0.35277652740478516,2.2541279976643125,0.32211652398109436,-2.053673440479875,1
gamp_p48s24,best_val,ETTm1,336,0.35175594687461853,0.3464335501194,1.5363398704842934,0.38097938895225525,0.3736240863800049,1.9686371517197765,0.34985053539276123,0.544635862774423,0
gamp_p48s24,best_val,ETTm1,720,0.41138753294944763,0.4078052043914795,0.8784411084977739,0.4109727740287781,0.4052598476409912,1.4096946492581752,0.4067089557647705,1.1503501750728784,0
gamp_p48s24,best_val,Weather,96,0.15465688705444336,0.14106884598731995,9.632205446938148,0.19503122568130493,0.18174318969249725,7.3114354443159835,0.14042679965496063,10.133455604234465,0
gamp_p48s24,best_val,Weather,192,0.19954097270965576,0.1823916733264923,9.402457398625398,0.23811842501163483,0.2234610915184021,6.5592329266975335,0.1822342574596405,9.496960391131836,0
gamp_p48s24,best_val,Weather,336,0.2514418959617615,0.2317972332239151,8.47493408986022,0.2783827483654022,0.26390954852104187,5.484151644178348,0.2326551377773285,8.074938023682755,0
gamp_p48s24,best_val,Weather,720,0.32000577449798584,0.3026454448699951,5.736193926674837,0.3253975510597229,0.31428512930870056,3.535777138251861,0.3067764937877655,4.312351493062128,0
validation_selected,last,ETTh2,96,0.2474440336227417,0.23410549759864807,5.697660311660546,0.321843683719635,0.3088265359401703,4.2150353886644565,0.2697129249572754,-8.25651619701253,1
validation_selected,last,ETTh2,192,0.29186856746673584,0.27608367800712585,5.717429430653476,0.3581569492816925,0.3405723571777344,5.163247026176365,0.33459872007369995,-12.770566664914984,1
validation_selected,last,ETTh2,336,0.3180351257324219,0.3104460537433624,2.4445702876716657,0.38269585371017456,0.3697926998138428,3.489293840258978,0.37489190697669983,-15.166179953789104,1
validation_selected,last,ETTh2,720,0.4158838391304016,0.39885038137435913,4.2706384527823715,0.44570744037628174,0.4323687255382538,3.085032300017221,0.40325209498405457,3.1324683252659913,0
validation_selected,last,ETTm1,96,0.27982279658317566,0.27276551723480225,2.587306276804169,0.33714187145233154,0.33084431290626526,1.9034809728920798,0.27859950065612793,0.43908762369162524,0
validation_selected,last,ETTm1,192,0.31661608815193176,0.3091461658477783,2.416307601185519,0.3612610101699829,0.35286661982536316,2.3789131283582954,0.32211652398109436,-1.7075919487711366,1
validation_selected,last,ETTm1,336,0.3535093367099762,0.34693026542663574,1.8963670624844164,0.3825061023235321,0.3737157881259918,2.3521388383454633,0.34985053539276123,1.0458184130281323,0
validation_selected,last,ETTm1,720,0.4136219620704651,0.40836983919143677,1.2861191926973436,0.4123972952365875,0.4053221046924591,1.7455723391885503,0.4067089557647705,1.699742827815398,0
validation_selected,last,Weather,96,0.15687225759029388,0.14136819541454315,10.967150093616995,0.19709540903568268,0.18159954249858856,8.53298765178032,0.14042679965496063,11.711053713209306,0
validation_selected,last,Weather,192,0.20465415716171265,0.18240033090114594,12.200540509231562,0.2420792281627655,0.22314205765724182,8.48659849440494,0.1822342574596405,12.302790932181074,0
validation_selected,last,Weather,336,0.25988051295280457,0.2316502183675766,12.186603916959339,0.28304699063301086,0.26356613636016846,7.391258430188241,0.2326551377773285,11.702030496972382,0
validation_selected,last,Weather,720,0.32951873540878296,0.3030458390712738,8.735607926061295,0.32974815368652344,0.3143439292907715,4.900436420231569,0.3067764937877655,7.413293417699407,0
validation_selected,best_val,ETTh2,96,0.2629695236682892,0.24386686086654663,7.8332343861170495,0.3291851282119751,0.3163817822933197,4.046802513674863,0.2697129249572754,-2.500214363124942,1
validation_selected,best_val,ETTh2,192,0.3008444607257843,0.28923195600509644,4.014945264375713,0.35654616355895996,0.34955501556396484,2.0000136412620995,0.33459872007369995,-10.087982207607016,1
validation_selected,best_val,ETTh2,336,0.333965539932251,0.3255334496498108,2.5902377440815805,0.3845156133174896,0.3798920214176178,1.2170805489987169,0.37489190697669983,-10.916844637831169,1
validation_selected,best_val,ETTh2,720,0.4149107336997986,0.4091671109199524,1.4037352041645024,0.4413445293903351,0.4393719434738159,0.44895582110302534,0.40325209498405457,2.8911539111049267,0
validation_selected,best_val,ETTm1,96,0.2806592583656311,0.272219717502594,3.10026802630734,0.3385232090950012,0.3307173252105713,2.360288769105101,0.27859950065612793,0.7393257003879272,0
validation_selected,best_val,ETTm1,192,0.31550130248069763,0.30874696373939514,2.1876615917115982,0.36072856187820435,0.35277652740478516,2.2541279976643125,0.32211652398109436,-2.053673440479875,1
validation_selected,best_val,ETTm1,336,0.35175594687461853,0.3464335501194,1.5363398704842934,0.38097938895225525,0.3736240863800049,1.9686371517197765,0.34985053539276123,0.544635862774423,0
validation_selected,best_val,ETTm1,720,0.41138753294944763,0.4078052043914795,0.8784411084977739,0.4109727740287781,0.4052598476409912,1.4096946492581752,0.4067089557647705,1.1503501750728784,0
validation_selected,best_val,Weather,96,0.15465688705444336,0.14106884598731995,9.632205446938148,0.19503122568130493,0.18174318969249725,7.3114354443159835,0.14042679965496063,10.133455604234465,0
validation_selected,best_val,Weather,192,0.19954097270965576,0.1823916733264923,9.402457398625398,0.23811842501163483,0.2234610915184021,6.5592329266975335,0.1822342574596405,9.496960391131836,0
