dataset,arm,a6_active_parameters,candidate_active_parameters,candidate_vs_a6_parameters_pct,a6_readout_state_width,candidate_readout_state_width,candidate_vs_a6_state_width_pct,candidate_local_patch_num
ETTh2,gamp_p16s8,583376,990416,69.77318230438003,1536,256,-83.33333333333334,89
ETTh2,gamp_p48s24,583376,983248,68.54447217574943,1536,256,-83.33333333333334,29
ETTm1,gamp_p16s8,699600,990416,41.56889651229274,256,256,0.0,89
ETTm1,gamp_p48s24,699600,983248,40.544311034877076,256,256,0.0,29
Weather,gamp_p16s8,1826256,990416,-45.76795367133633,6144,256,-95.83333333333334,89
Weather,gamp_p48s24,1826256,983248,-46.160450670661724,6144,256,-95.83333333333334,29
