arm,dataset,selector,mean_mse_vs_source_a6_pct,wins_vs_source_a6,settings,max_mse_vs_source_a6_pct
gamp_p16s8,ETTh2,official-last,6.025029160582479,0,4,8.295681260665223
gamp_p16s8,ETTm1,official-last,1.0976891766266539,0,4,1.7086973153187524
gamp_p16s8,Weather,official-last,6.78167351913756,0,4,7.7719789890740465
gamp_p16s8,ALL,official-last,4.634797285448897,0,12,8.295681260665223
gamp_p48s24,ETTh2,official-last,2.4434878426726483,0,4,5.279570442480996
gamp_p48s24,ETTm1,official-last,2.0465250332928617,0,4,2.587306276804169
gamp_p48s24,Weather,official-last,11.022475611467298,0,4,12.200540509231562
gamp_p48s24,ALL,official-last,5.170829495810936,0,12,12.200540509231562
