seed,dataset,all_finite,oracle_gain_percent,pairwise_arm_nrmse,policy_normalized_entropy,nonconstant_component_rms_ratio
2021,Weather,True,6.984054182455257,0.14796240211485331,0.518482257390212,0.21463915604180037
2021,ETTm1,True,6.836972777305583,0.16463557127786893,0.7753208637696465,0.2034541059219737
2021,ETTh1,True,4.684418262476142,0.32155075702725927,0.9578791040251304,0.24138604699559302
2021,ETTm2,True,8.054405570560263,0.08068155111286476,0.8406176859826257,0.046198417563147666
2021,ETTh2,True,5.40859969104125,0.07873057323800897,0.9687210450363063,0.03200050358707279
2022,Weather,True,9.657930211725663,0.1801026023659225,0.49506824081728723,0.2666499745286939
2022,ETTm1,True,7.759098791840935,0.15421378834145286,0.7273757265766502,0.19957388294457792
2022,ETTh1,True,4.032187973568558,0.34111332660443766,0.9516725414120814,0.2458508959613183
2022,ETTm2,True,11.563705866703678,0.09833538265544103,0.8096225564589434,0.052592498823221236
2022,ETTh2,True,5.243525223994916,0.07641368608782564,0.9432256115960549,0.037239834712350844
2023,Weather,True,7.147832712610491,0.1489954324631902,0.6130419000443873,0.20184656098406978
2023,ETTm1,True,7.434791042364064,0.16144247407687684,0.7636782607777071,0.22370839800404996
2023,ETTh1,True,5.090115100880577,0.310344128436547,0.9316694653755367,0.24157155024173996
2023,ETTm2,True,6.029763885078765,0.08345751056492652,0.8702054497789765,0.03991956041185221
2023,ETTh2,True,6.223289369364126,0.07835500684568594,0.9079982771232993,0.04211058412301889
