comparison,role,metric,seed,dataset,horizon,gain_percent,candidate_value,reference_value
siff_over_a6_full,method_package_effectiveness,mse,2021,Weather,96,1.9307293424915106,0.14267253033341074,0.14548138206479796
siff_over_a6_full,method_package_effectiveness,mse,2021,Weather,192,1.2425523196191834,0.18444717947366693,0.18676786794917266
siff_over_a6_full,method_package_effectiveness,mse,2021,Weather,336,0.955951778193509,0.2348656476804783,0.23713252022423698
siff_over_a6_full,method_package_effectiveness,mse,2021,Weather,720,0.7825259827040076,0.3063376851641034,0.3087537635867462
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm1,96,3.006863972966811,0.28605538192102586,0.2949233251323049
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm1,192,2.853225075312271,0.32407746636755846,0.3335957026044323
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm1,336,2.479852923135817,0.362900134218119,0.37212837049157194
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm1,720,1.8132108127062674,0.4224307489754483,0.4302317577262367
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh1,96,0.7965227397345398,0.36542348224853544,0.3683575337685271
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh1,192,1.02151725066566,0.3937364097388288,0.3978000054173156
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh1,336,2.348816284432176,0.4088984634853711,0.41873374999363516
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh1,720,1.8949804944867976,0.46767521692084923,0.4767087548405893
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm2,96,-1.4301058844035541,0.16621140200977189,0.16386791728207142
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm2,192,-1.6190376771551884,0.22234104947946548,0.21879861742624002
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm2,336,-0.540510767827107,0.2758422429407593,0.27435930137429604
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTm2,720,1.9153793541187625,0.34944140477868546,0.35626523554624073
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh2,96,3.9071793426897927,0.24433372960914454,0.2542684541236401
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh2,192,3.809662160683902,0.2864218994986076,0.2977657693406475
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh2,336,3.226977594550273,0.3217349311586167,0.33246345227355256
siff_over_a6_full,method_package_effectiveness,mse,2021,ETTh2,720,2.47525435885122,0.40740678201442215,0.417747084943459
siff_over_a6_full,method_package_effectiveness,mse,2022,Weather,96,1.7848186301311575,0.1424201371967609,0.14500827184793405
siff_over_a6_full,method_package_effectiveness,mse,2022,Weather,192,1.1107338406130207,0.18467759467562725,0.18675191135301683
siff_over_a6_full,method_package_effectiveness,mse,2022,Weather,336,0.617195359812539,0.23653620906231967,0.23800516590238333
siff_over_a6_full,method_package_effectiveness,mse,2022,Weather,720,0.5733246067530007,0.3086147400617065,0.3103943070017078
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm1,96,5.491058051969722,0.28300449314037224,0.2994473192769359
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm1,192,3.294248873925787,0.32276289703282296,0.3337577065215496
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm1,336,1.4584251731088127,0.3643517358833902,0.3697441780522079
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm1,720,-0.593746964937325,0.4263120826702609,0.42379580792318533
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh1,96,1.9093688056587066,0.36170814749550095,0.36874892442976487
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh1,192,1.5674169784706482,0.391598565587776,0.3978342877603089
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh1,336,0.3642442918007527,0.4166146299791705,0.4181376725834241
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh1,720,0.3290728896612194,0.46942125936135776,0.4709710975615728
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm2,96,-1.3388359510331904,0.16635711779697654,0.16415929414993488
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm2,192,-1.4813172498790772,0.2236097253614894,0.2203457064031713
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm2,336,-2.1902353224233284,0.28129951546638515,0.275270444948922
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTm2,720,0.4200512985485627,0.35557840050324363,0.35707831259212214
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh2,96,1.4210987986770118,0.24596426730432833,0.2495100516509179
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh2,192,-0.27743361995200555,0.29357882582726547,0.29276659287065426
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh2,336,-1.7244023841136435,0.3326499431693018,0.32701095840623184
siff_over_a6_full,method_package_effectiveness,mse,2022,ETTh2,720,0.6249970678379513,0.412490040928745,0.41508430566822696
siff_over_a6_full,method_package_effectiveness,mse,2023,Weather,96,2.31178075788514,0.1421822656392879,0.145546993017548
siff_over_a6_full,method_package_effectiveness,mse,2023,Weather,192,1.8707557449048062,0.18366888340905044,0.1871703841227879
siff_over_a6_full,method_package_effectiveness,mse,2023,Weather,336,1.720737026960406,0.23384920656264252,0.23794359001938495
siff_over_a6_full,method_package_effectiveness,mse,2023,Weather,720,1.8629901569001572,0.3052634338722834,0.31105842164982866
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm1,96,2.2965312785907965,0.28904374346168404,0.29583774992253425
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm1,192,0.8019225232323346,0.32817458532598004,0.33082756609152936
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm1,336,-0.6629446328666688,0.36867829087713183,0.36625025447224757
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm1,720,-1.8842253794373987,0.428369535314201,0.42044735946007983
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh1,96,3.161649782782272,0.355855643714039,0.36747388087035826
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh1,192,2.0143640251953476,0.38773418457655545,0.39570512628632093
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh1,336,0.6070548396690634,0.41506046642919314,0.4175955001229296
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh1,720,0.23022078188643658,0.4765740577440823,0.477673762013857
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm2,96,4.753588241124418,0.16584025025126506,0.17411705825842952
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm2,192,2.7451774816305563,0.22032618157298423,0.22654525078318777
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm2,336,1.4475374479097192,0.2717426936371781,0.2757340472274323
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTm2,720,-0.45627433960762076,0.3494844648027322,0.3478970996089773
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh2,96,2.921575234228302,0.24534472807967708,0.25272837777460694
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh2,192,2.637161299064106,0.288562339049996,0.2963783132251897
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh2,336,1.1216805361119908,0.3249968323065395,0.32868361241235866
siff_over_a6_full,method_package_effectiveness,mse,2023,ETTh2,720,-0.7486684430173085,0.4091197410924711,0.40607955163582754
siff_over_a6_full,method_package_effectiveness,mae,2021,Weather,96,1.2307806980139002,0.18590363491750947,0.18822021296848626
siff_over_a6_full,method_package_effectiveness,mae,2021,Weather,192,0.40110899442087344,0.22805887191186994,0.22897732053973874
siff_over_a6_full,method_package_effectiveness,mae,2021,Weather,336,-0.09091674488774792,0.2694596004586866,0.269214839090231
siff_over_a6_full,method_package_effectiveness,mae,2021,Weather,720,-0.5608749245052724,0.3200886524761304,0.31830336869725195
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm1,96,1.1695992167717106,0.3363959029908186,0.3403769491218189
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm1,192,1.1568209209334102,0.3584641720828189,0.36265949296923805
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm1,336,0.9661328449797502,0.37966371808464683,0.38336755797928146
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm1,720,1.0684061670903522,0.41018082570662606,0.4146105503964692
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh1,96,0.43771618335296525,0.39624713140973583,0.3979891945221554
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh1,192,0.821984533503739,0.4124822485479811,0.4159008895346605
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh1,336,1.4561006863947012,0.4252612571322585,0.43154498664489677
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh1,720,0.9333098379828764,0.47371738077134873,0.4781802844090327
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm2,96,-1.041414293711962,0.2527851395387282,0.2501797320491976
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm2,192,-0.49570311194813144,0.29008876869776395,0.2886578825908774
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm2,336,0.36140073704507003,0.3255999663647621,0.3267809551451797
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTm2,720,1.9444806407468929,0.37700781023385593,0.38448402771962803
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh2,96,2.991909836789486,0.3179860035208754,0.32779328299926563
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh2,192,2.3665804946675695,0.34961036893819913,0.35808473236882227
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh2,336,1.7245774403186087,0.37982347847802134,0.38648877673088555
siff_over_a6_full,method_package_effectiveness,mae,2021,ETTh2,720,1.3250550962265906,0.4401493201950042,0.4460598590900987
siff_over_a6_full,method_package_effectiveness,mae,2022,Weather,96,1.0682422681991155,0.1854149852426996,0.1874170534252009
siff_over_a6_full,method_package_effectiveness,mae,2022,Weather,192,0.48595039967599396,0.2279877648411867,0.2291010824670976
siff_over_a6_full,method_package_effectiveness,mae,2022,Weather,336,0.30890570841533016,0.26932451056913165,0.27015904728800477
siff_over_a6_full,method_package_effectiveness,mae,2022,Weather,720,-0.15324655263173614,0.31990408634829387,0.31941459449362974
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm1,96,2.3049184267171063,0.33671354014742594,0.34465761707241205
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm1,192,1.4453389950904727,0.3588939092433431,0.36415721548214214
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm1,336,0.8788010431588389,0.3801818678107284,0.3835525314582456
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm1,720,0.03766459196626881,0.4117177931634202,0.4118729234194457
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh1,96,1.4815722957237987,0.3973135173500389,0.40328852845952745
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh1,192,1.377632770309678,0.41466984057099643,0.4204622665416612
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh1,336,0.7143005820288817,0.43297869366782704,0.4360937136022795
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh1,720,0.1725182552235638,0.47684875101562507,0.4776728238369858
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm2,96,-0.8320671299272275,0.2524952569093576,0.25041166376565965
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm2,192,-0.805031407188106,0.2908892156206263,0.28856616734299617
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm2,336,-0.8022197528350095,0.32881552223891447,0.3261986918990112
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTm2,720,1.3894959885568547,0.37950235000559324,0.38484982285614755
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh2,96,1.3318914647378666,0.32120564217651537,0.325541501651187
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh2,192,-0.6139570326196164,0.35827083489691747,0.3560846282795179
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh2,336,-1.536374817646502,0.3903572781205539,0.3844506747671592
siff_over_a6_full,method_package_effectiveness,mae,2022,ETTh2,720,0.23719968306259442,0.445099160676363,0.4461574447212019
siff_over_a6_full,method_package_effectiveness,mae,2023,Weather,96,0.9536485231059988,0.1860384223717479,0.18782965712285507
siff_over_a6_full,method_package_effectiveness,mae,2023,Weather,192,0.6859295584839331,0.2277430335583362,0.22931597964504857
