dataset,prefix_horizon,target_h720_prefix_mse,target_h720_prefix_mae,fixed_h720_prefix_mse,fixed_h720_prefix_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.25483044555100304,0.3252208409830928,0.2543378472328186,0.3262273371219635,0.19367873226256993,-0.3085259953228392,False,True
ETTh2,192,0.295808988972567,0.3566431420234342,0.29775410890579224,0.35817569494247437,-0.6532638425623349,-0.42787741900975895,True,True
ETTh2,336,0.32599498147499706,0.3840780658203931,0.3223787248134613,0.3821985721588135,1.121741722760472,0.49175842048898577,False,False
ETTh2,720,0.4134069319504003,0.4442312546902233,0.4074031412601471,0.4438471794128418,1.4736731463784958,0.08653322476659397,False,False
ETTm1,96,0.2926091851356129,0.3560022381134331,0.29211053252220154,0.35281580686569214,0.1707068242646992,0.9031429957881532,False,False
ETTm1,192,0.3249520930306365,0.37602287942233187,0.3252318203449249,0.3729446828365326,-0.08600859349856549,0.8253761824373651,True,False
ETTm1,336,0.3603363936057403,0.39570643863685073,0.3618141710758209,0.3932553827762604,-0.4084354865611206,0.6232733149859726,True,False
ETTm1,720,0.4194724186220103,0.4263000076636672,0.412788063287735,0.42070141434669495,1.6193189505133487,1.330775967479525,False,False
Weather,96,0.1493160316022113,0.19989233068190515,0.15367551147937775,0.20635920763015747,-2.8368084382471515,-3.133796171500347,True,True
Weather,192,0.19172634485100085,0.24154514047161987,0.19544166326522827,0.2459518164396286,-1.9009858758649023,-1.7916826278412068,True,True
Weather,336,0.2447654519207953,0.28213145754610497,0.24744020402431488,0.2844696044921875,-1.080969082638139,-0.8219320831328925,True,True
Weather,720,0.3236587011720985,0.33553597692193254,0.32312721014022827,0.33546921610832214,0.1644835269798417,0.019900727221666692,False,False
