dataset,horizon,segment,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,1-96,0.3089098036289215,0.36455273628234863,0.3074484169483185,0.36609065532684326,0.47532743707334735,-0.4200924066530942,False,True
ETTh2,192,1-96,0.30742982029914856,0.36277711391448975,0.3041790723800659,0.3596230745315552,1.0686954541767157,0.8770403253581582,False,False
ETTh2,192,97-192,0.43090277910232544,0.44418758153915405,0.45050108432769775,0.4542715549468994,-4.350334751051643,-2.2198117619149804,True,True
ETTh2,336,1-96,0.28088927268981934,0.3466845750808716,0.28333091735839844,0.34809982776641846,-0.8617642900900058,-0.40656517833629335,True,True
ETTh2,336,97-192,0.38066166639328003,0.41692426800727844,0.39427974820137024,0.4292934834957123,-3.453913590594837,-2.8812958882375783,True,True
ETTh2,336,193-336,0.4475020170211792,0.4646574854850769,0.4445280134677887,0.4647422432899475,0.6690250025392475,-0.01823759429970817,False,True
ETTh2,720,1-96,0.25483042001724243,0.32522085309028625,0.2543378472328186,0.3262273371219635,0.19366869295427414,-0.3085222840478741,False,True
ETTh2,720,97-192,0.33678752183914185,0.3880654275417328,0.3411703407764435,0.3901240825653076,-1.2846424244637222,-0.5276923716264537,True,True
ETTh2,720,193-336,0.3662429451942444,0.4206579923629761,0.35521161556243896,0.41422906517982483,3.105565569509472,1.55202223203732,False,False
ETTh2,720,337-720,0.4898923635482788,0.49686524271965027,0.48179948329925537,0.4977897107601166,1.6797195782787488,-0.18571457394220836,False,True
ETTm1,96,1-96,0.30681994557380676,0.35803118348121643,0.29047533869743347,0.3442326486110687,5.626848375379034,4.0084910382042205,False,False
ETTm1,192,1-96,0.30640020966529846,0.35827404260635376,0.2987188696861267,0.35031452775001526,2.571427773291579,2.272105272784586,False,False
ETTm1,192,97-192,0.3667851388454437,0.39659571647644043,0.37668347358703613,0.39646369218826294,-2.627759229077331,0.033300473858988155,True,False
ETTm1,336,1-96,0.3031449317932129,0.3580412268638611,0.29374390840530396,0.35131213068962097,3.200414755473857,1.9154181101093792,False,False
ETTm1,336,97-192,0.3628458082675934,0.3963659405708313,0.35962292551994324,0.391627699136734,0.8961838967831426,1.209884143675688,False,False
ETTm1,336,193-336,0.40833014249801636,0.4198753237724304,0.4080162048339844,0.4164922535419464,0.07694244991072186,0.8122768675079994,False,False
ETTm1,720,1-96,0.29260921478271484,0.3560021221637726,0.29211053252220154,0.35281580686569214,0.17071697353994164,0.9031101317105605,False,False
ETTm1,720,97-192,0.3572949469089508,0.396043598651886,0.3583531081676483,0.3930736482143402,-0.2952845209319266,0.7555709854979442,True,False
ETTm1,720,193-336,0.4075154662132263,0.42195117473602295,0.41059064865112305,0.4203362762928009,-0.7489655324590005,0.38419202298332067,True,False
ETTm1,720,337-720,0.4712163805961609,0.4530693292617798,0.4573901295661926,0.4447166323661804,3.022857323808381,1.87820654495372,False,False
Weather,96,1-96,0.15020199120044708,0.19952069222927094,0.14708691835403442,0.1950538456439972,2.1178449322833526,2.290058199327394,False,False
Weather,192,1-96,0.1511474996805191,0.20015117526054382,0.15198560059070587,0.20113612711429596,-0.5514344167667273,-0.48969415285222695,True,True
Weather,192,97-192,0.23790328204631805,0.2827308475971222,0.23843136429786682,0.2826337516307831,-0.2214818730345569,0.03435398843163462,True,False
Weather,336,1-96,0.15239015221595764,0.20092515647411346,0.15354138612747192,0.2040555626153946,-0.7497873638828034,-1.5340949794058534,True,True
Weather,336,97-192,0.23912915587425232,0.2837575376033783,0.2438506931066513,0.2894735634326935,-1.9362410548219966,-1.9746279285514978,True,True
Weather,336,193-336,0.3158990442752838,0.33454564213752747,0.32024121284484863,0.34092363715171814,-1.355905609709429,-1.870798712426125,True,True
Weather,720,1-96,0.14931601285934448,0.19989228248596191,0.15367551147937775,0.20635920763015747,-2.836820634638515,-3.1338195268639346,True,True
Weather,720,97-192,0.2341366857290268,0.2831979990005493,0.23720782995224,0.2855444550514221,-1.2947060912076758,-0.8217480708740177,True,True
Weather,720,193-336,0.3154842257499695,0.3362465500831604,0.31677156686782837,0.3358266353607178,-0.40639415039293025,0.12503913574084535,True,False
Weather,720,337-720,0.3926902711391449,0.3822648823261261,0.38935336470603943,0.3800938129425049,0.8570380368036146,0.571193034375872,False,False
