dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,1.4893790275518834e-14,6.672416219544175e-08,0.0
ETTh2,192,720,1.297888679803504e-14,6.188145107444143e-08,0.0
ETTh2,336,720,8.653552863429476e-15,4.4588787773136573e-08,0.0
ETTm1,96,720,5.1126193800462086e-14,1.2882729549801297e-07,0.0
ETTm1,192,720,4.9077668334450084e-14,1.2592637688157993e-07,0.0
ETTm1,336,720,3.221386577086614e-14,9.426687341829165e-08,0.0
Weather,96,720,1.0266038473689173e-14,5.652325185678819e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
