dataset,horizon,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.3089098036289215,0.36455273628234863,0.3074484169483185,0.36609065532684326,0.47532743707334735,-0.4200924066530942,False,True
ETTh2,192,0.3691662549972534,0.4034823477268219,0.37734004855155945,0.4069473147392273,-2.166161155085866,-0.8514534650820194,True,True
ETTh2,336,0.38080111145973206,0.417312890291214,0.3841150403022766,0.4212876260280609,-0.8627438383919217,-0.9434731739740632,True,True
ETTh2,720,0.41340693831443787,0.444231241941452,0.4074031412601471,0.4438471794128418,1.473674708476791,0.0865303524330896,False,False
ETTm1,96,0.30681994557380676,0.35803118348121643,0.29047533869743347,0.3442326486110687,5.626848375379034,4.0084910382042205,False,False
ETTm1,192,0.3365926444530487,0.3774348795413971,0.3377011716365814,0.3733891248703003,-0.3282568367058092,1.083522363566991,True,False
ETTm1,336,0.3652816712856293,0.39549145102500916,0.361540287733078,0.3907651901245117,1.0348455426670178,1.2094887210888583,False,False
ETTm1,720,0.4194723963737488,0.42629995942115784,0.412788063287735,0.42070141434669495,1.6193135607592613,1.3307645003183266,False,False
Weather,96,0.15020199120044708,0.19952069222927094,0.14708691835403442,0.1950538456439972,2.1178449322833526,2.290058199327394,False,False
Weather,192,0.19452537596225739,0.241441011428833,0.19520847499370575,0.24188493192195892,-0.3499330812713919,-0.18352548445189631,True,True
Weather,336,0.24724797904491425,0.2818574905395508,0.25078684091567993,0.28711846470832825,-1.4111034924498056,-1.832335713456068,True,True
Weather,720,0.32365867495536804,0.3355359435081482,0.32312721014022827,0.33546921610832214,0.1644754135404325,0.019890766908559065,False,False
