short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.3200152132648597e-14,6.307490707513352e-08,0.0
192,720,1.225953305615101e-14,6.041342004436956e-08,0.0
336,720,8.42424749208058e-15,4.434370382000452e-08,0.0
