case,value,threshold,pass
scale_basis_constant,0.0,<=1e-12,True
scale_basis_linear_zero_mean,1.554312234475219e-16,<=1e-12,True
scale_basis_linear_unit_rms,0.0,<=1e-12,True
siff_q1_exact_containment,0.0,<=1e-10,True
siff_const_same_parameters_collapses_to_q1,1.7763568394002505e-15,<=1e-10,True
permuted_scale_control_changes_semantics,True,true,True
mcca_float64_marginals,3.864350651538312e-10,<=1e-09,True
pcc_mcca_float64_same_column_mass,5.551115123125783e-17,<=1e-07,True
mcca_float64_closer_than_pcc_mix,0.10735245264591682,>=1e-06,True
mcca_float64_global_starvation_floor,0.17560871802138092,>=0.04,True
mcca_float32_marginals,1.043081283569336e-07,<=2e-05,True
pcc_mcca_float32_same_column_mass,2.9802322387695312e-08,<=1e-07,True
mcca_float32_closer_than_pcc_mix,0.10735243558883667,>=1e-06,True
mcca_float32_global_starvation_floor,0.17560872435569763,>=0.04,True
mcca_stopped_assignment_skill_gradient,0.08324677366085187,>=1e-10,True
fixed_past_no_requested_horizon_feature,True,true,True
one_stage_one_forward_no_teacher,True,true,True
core_two_by_three_factorial_complete,6,==6,True
architecture_attribution_controls_complete,5,==5,True
training_attribution_controls_complete,2,==2,True
phase_a_new_run_count_consistent,55,==55,True
integer_rank_parameter_controls_matched,0.0038924594912645967,<=0.005,True
