dataset,readout_dim,siff_q,siff_rank,siff_field_parameters,q1_wide_rank,q1_wide_field_parameters,q1_wide_relative_gap,independent_scope_rank,independent_scope_field_parameters,independent_scope_relative_gap
ETTh1,1536,2,256,3517136,463,3513964,0.0009018701579921846,109,3508340,0.002500898458291064
ETTh2,768,2,256,1944272,430,1942600,0.0008599619806282249,116,1951840,0.0038924594912645967
ETTm1,768,2,256,1944272,430,1942600,0.0008599619806282249,116,1951840,0.0038924594912645967
ETTm2,3072,2,256,6662864,485,6660740,0.00031878183315763313,106,6668120,0.0007888499600171938
Weather,768,2,256,1944272,430,1942600,0.0008599619806282249,116,1951840,0.0038924594912645967
