dataset,tile_len,tiles,rank,shared_local_energy,independent_tile_energy,local_dct_energy,shared_gap_to_independent,shared_minus_dct,bank2_energy,bank2_gap_to_independent,bank2_minus_dct,bank4_energy,bank4_gap_to_independent,bank4_minus_dct
ETTh2,48,15,4,0.22442849603652693,0.24924576851735428,0.21569381510877467,0.02481727248082735,0.008734680927752259,0.22627981541426165,0.02296595310309263,0.010586000305486981,0.22939155133129538,0.019854217186058898,0.013697736222520712
ETTh2,48,15,8,0.31533150395007065,0.3716542606183051,0.2956346196535374,0.05632275666823444,0.019696884296533268,0.32088352456593433,0.05077073605237076,0.025248904912396952,0.3283744912872083,0.043279769331096785,0.032739871633670925
ETTh2,48,15,16,0.48116688255134465,0.5717643653230639,0.44403138008935966,0.0905974827717192,0.03713550246198499,0.4910936838321434,0.08067068149092044,0.04706230374278375,0.5049428898687024,0.06682147545436146,0.06091150977934273
ETTh2,48,15,32,0.7659660163739573,0.8486794714905987,0.7214155645538023,0.08271345511664141,0.044550451820155046,0.7771726525326403,0.0715068189579584,0.05575708797883805,0.7906042853358264,0.05807518615477236,0.0691887207820241
ETTm1,48,15,4,0.14820539548622652,0.1716736311421865,0.1452279566049666,0.023468235655959985,0.002977438881259925,0.14988968719538695,0.021783943946799555,0.004661730590420354,0.15320645931007906,0.018467171832107443,0.007978502705112467
ETTm1,48,15,8,0.2598040652870187,0.3102689256642465,0.254512384482423,0.050464860377227805,0.005291680804595689,0.26286701891975334,0.04740190674449318,0.00835463443733031,0.26987556196422197,0.040393363700024554,0.01536317748179894
ETTm1,48,15,16,0.4355744132891469,0.5339683336497408,0.4111940223640769,0.09839392036059391,0.024380390925069995,0.4472484071926372,0.08671992645710364,0.03605438482856027,0.46558852753787583,0.068379806111865,0.0543945051737989
ETTm1,48,15,32,0.7405000406567009,0.8371286923948096,0.70561694776826,0.09662865173810864,0.034883092888440936,0.7546098241352417,0.08251886825956789,0.048992876366981686,0.7744688691636905,0.06265982323111907,0.0688519213954305
Weather,48,15,4,0.12505733678907419,0.16712085772973853,0.12096887970007197,0.042063520940664345,0.004088457089002212,0.12868692861028797,0.038433929119450566,0.007718048910215991,0.13538230352956038,0.031738554200178154,0.014413423829488403
Weather,48,15,8,0.22032488879300874,0.3007310454328663,0.2006406358652476,0.08040615663985753,0.01968425292776113,0.2304153531693613,0.07031569226350498,0.029774717304113685,0.24389766045967795,0.05683338497318832,0.04325702459443034
Weather,48,15,16,0.40040241585925734,0.5212104080463595,0.3567854558837202,0.1208079921871022,0.04361695997553716,0.41550231024264683,0.10570809780371271,0.05871685435892665,0.4382704819277078,0.08293992611865175,0.08148502604398761
Weather,48,15,32,0.7228277225175379,0.8297198946657058,0.6789866580991074,0.10689217214816793,0.0438410644184305,0.7377628455363597,0.0919570491293461,0.058776187437252325,0.759324633052695,0.0703952616130108,0.08033797495358763
