dataset,tile_len,tiles,rank,shared_local_energy,independent_tile_energy,local_dct_energy,shared_gap_to_independent,shared_minus_dct,bank2_energy,bank2_gap_to_independent,bank2_minus_dct,bank4_energy,bank4_gap_to_independent,bank4_minus_dct
ETTh2,48,15,4,0.9242714231649902,0.9243972875674094,0.9205696631835505,0.0001258644024191291,0.003701759981439734,0.9242870011730825,0.00011028639432686393,0.003717337989531999,0.9243051544309349,9.213313647449262e-05,0.0037354912473843704
ETTh2,48,15,8,0.9584012526839476,0.95844299406002,0.9573312105442989,4.174137607237949e-05,0.0010700421396486748,0.9584049223828539,3.807167716607385e-05,0.0010737118385549804,0.9584106515331577,3.234252686223904e-05,0.0010794409888588152
ETTh2,48,15,16,0.9748782733827382,0.9749316307027229,0.9731179482305945,5.335731998468152e-05,0.001760325152143749,0.9748827561553183,4.887454740465369e-05,0.001764807924723777,0.9748893232582676,4.230744445532508e-05,0.0017713750276731055
ETTh2,48,15,32,0.990835523618009,0.99091227384873,0.9883145815164269,7.675023072106768e-05,0.0025209421015820466,0.9908410497343527,7.122411437732179e-05,0.0025264682179257925,0.9908491991257331,6.30747229969364e-05,0.002534617609306178
ETTm1,48,15,4,0.9529860045217436,0.953004634482219,0.9526599830214457,1.862996047530263e-05,0.00032602150029792387,0.9529879765468857,1.665793533323079e-05,0.0003279935254399957,0.9529911846584401,1.3449823778821646e-05,0.00033120163699440486
ETTm1,48,15,8,0.9752481042916675,0.975273311751833,0.9751145627077703,2.520746016543285e-05,0.00013354158389722315,0.9752508255911586,2.248616067435094e-05,0.00013626288338830506,0.9752543816266875,1.893012514542214e-05,0.00013981891891723386
ETTm1,48,15,16,0.9856991239786105,0.9857514447686767,0.9856850278390402,5.232079006622925e-05,1.4096139570263233e-05,0.9857054064215118,4.6038347164878424e-05,2.037858247161406e-05,0.9857124561164837,3.8988652192983864e-05,2.742827744350862e-05
ETTm1,48,15,32,0.9943026513823525,0.9943826788336123,0.9942931385076514,8.002745125978983e-05,9.512874701078644e-06,0.994310375846594,7.23029870183245e-05,1.7237338942543978e-05,0.994322374281247,6.0304552365275654e-05,2.9235773595592818e-05
Weather,48,15,4,0.8573703238480134,0.8593036594871802,0.8570473184168889,0.0019333356391668666,0.0003230054311245123,0.857575120494855,0.0017285389923252792,0.0005278020779660997,0.8579613688051022,0.001342290682078029,0.0009140503882133499
Weather,48,15,8,0.8898195667288179,0.9041117015290063,0.8890381538311426,0.014292134800188427,0.0007814128976753043,0.8910292491392531,0.013082452389753252,0.00199109530811048,0.8931259390846161,0.010985762444390201,0.00408778525347353
Weather,48,15,16,0.9272000697888296,0.9520283269379862,0.9249217331123848,0.024828257149156596,0.0022783366764448365,0.9297669905898875,0.02226133634809868,0.004845257477502751,0.9356791034629471,0.016349223475039087,0.010757370350562345
Weather,48,15,32,0.9720571920677297,0.9851520511438304,0.9678813378204065,0.013094859076100751,0.004175854247323141,0.9754163165012545,0.009735734642575933,0.007534978680847959,0.9789482087998436,0.006203842343986854,0.011066870979437038
