job_index,dataset,arm,readout_mode,objective_mode,mode_rank,profile,patch_num,d_model,d_ff,seed,checkpoint_score,formal_evaluation_split
1,Weather,a6_full,learned-basis-forecast-operator,off,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
2,Weather,pcsd_direct,pcsd-coupling-field,off,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
3,Weather,dense_measure,siff-dense-nonlinear-matched,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
4,Weather,pcsd_measure,pcsd-coupling-field,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
5,Weather,pcsd_equal,pcsd-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
6,Weather,pcsd_prior,pcsd-coupling-field,pointwise_prior_composed,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
7,Weather,pcsd_pcc,pcsd-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
8,Weather,siff_equal,siff-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
9,Weather,siff_prior,siff-coupling-field,pointwise_prior_composed,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
10,Weather,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
11,Weather,siff_constant_pcc,siff-constant-control,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
12,Weather,siff_permuted_pcc,siff-permuted-scale-control,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
13,Weather,siff_q1_wide_pcc,siff-q1-wide-control,pcc_transport_full,430,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
14,Weather,siff_independent_pcc,siff-independent-scope-control,pcc_transport_full,116,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
15,ETTm1,a6_full,learned-basis-forecast-operator,off,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
16,ETTm1,pcsd_direct,pcsd-coupling-field,off,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
17,ETTm1,dense_measure,siff-dense-nonlinear-matched,measure_only,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
18,ETTm1,pcsd_measure,pcsd-coupling-field,measure_only,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
19,ETTm1,pcsd_equal,pcsd-coupling-field,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
20,ETTm1,pcsd_prior,pcsd-coupling-field,pointwise_prior_composed,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
21,ETTm1,pcsd_pcc,pcsd-coupling-field,pcc_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
22,ETTm1,siff_equal,siff-coupling-field,equal_skill,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
23,ETTm1,siff_prior,siff-coupling-field,pointwise_prior_composed,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
24,ETTm1,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
25,ETTm1,siff_constant_pcc,siff-constant-control,pcc_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
26,ETTm1,siff_permuted_pcc,siff-permuted-scale-control,pcc_transport_full,256,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
27,ETTm1,siff_q1_wide_pcc,siff-q1-wide-control,pcc_transport_full,430,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
28,ETTm1,siff_independent_pcc,siff-independent-scope-control,pcc_transport_full,116,r2b_p24_d32_ff64_narrow,24,32,64,2021,mean_mse_h96_h192_h336_h720,test
29,ETTm2,a6_full,learned-basis-forecast-operator,off,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
30,ETTm2,pcsd_direct,pcsd-coupling-field,off,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
31,ETTm2,dense_measure,siff-dense-nonlinear-matched,measure_only,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
32,ETTm2,pcsd_measure,pcsd-coupling-field,measure_only,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
33,ETTm2,pcsd_equal,pcsd-coupling-field,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
34,ETTm2,pcsd_prior,pcsd-coupling-field,pointwise_prior_composed,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
35,ETTm2,pcsd_pcc,pcsd-coupling-field,pcc_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
36,ETTm2,siff_equal,siff-coupling-field,equal_skill,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
37,ETTm2,siff_prior,siff-coupling-field,pointwise_prior_composed,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
38,ETTm2,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
39,ETTm2,siff_constant_pcc,siff-constant-control,pcc_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
40,ETTm2,siff_permuted_pcc,siff-permuted-scale-control,pcc_transport_full,256,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
41,ETTm2,siff_q1_wide_pcc,siff-q1-wide-control,pcc_transport_full,485,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
42,ETTm2,siff_independent_pcc,siff-independent-scope-control,pcc_transport_full,106,r2b_p48_d64_ff128_medium,48,64,128,2021,mean_mse_h96_h192_h336_h720,test
43,ETTh1,a6_full,learned-basis-forecast-operator,off,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
44,ETTh1,pcsd_direct,pcsd-coupling-field,off,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
45,ETTh1,dense_measure,siff-dense-nonlinear-matched,measure_only,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
46,ETTh1,pcsd_measure,pcsd-coupling-field,measure_only,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
47,ETTh1,pcsd_equal,pcsd-coupling-field,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
48,ETTh1,pcsd_prior,pcsd-coupling-field,pointwise_prior_composed,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
49,ETTh1,pcsd_pcc,pcsd-coupling-field,pcc_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
50,ETTh1,siff_equal,siff-coupling-field,equal_skill,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
51,ETTh1,siff_prior,siff-coupling-field,pointwise_prior_composed,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
52,ETTh1,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
53,ETTh1,siff_constant_pcc,siff-constant-control,pcc_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
54,ETTh1,siff_permuted_pcc,siff-permuted-scale-control,pcc_transport_full,256,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
55,ETTh1,siff_q1_wide_pcc,siff-q1-wide-control,pcc_transport_full,463,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
56,ETTh1,siff_independent_pcc,siff-independent-scope-control,pcc_transport_full,109,r2b_p24_d64_ff128_medium,24,64,128,2021,mean_mse_h96_h192_h336_h720,test
57,ETTh2,a6_full,learned-basis-forecast-operator,off,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
58,ETTh2,pcsd_direct,pcsd-coupling-field,off,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
59,ETTh2,dense_measure,siff-dense-nonlinear-matched,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
60,ETTh2,pcsd_measure,pcsd-coupling-field,measure_only,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
61,ETTh2,pcsd_equal,pcsd-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
62,ETTh2,pcsd_prior,pcsd-coupling-field,pointwise_prior_composed,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
63,ETTh2,pcsd_pcc,pcsd-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
64,ETTh2,siff_equal,siff-coupling-field,equal_skill,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
65,ETTh2,siff_prior,siff-coupling-field,pointwise_prior_composed,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
66,ETTh2,siff_pcc,siff-coupling-field,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
67,ETTh2,siff_constant_pcc,siff-constant-control,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
68,ETTh2,siff_permuted_pcc,siff-permuted-scale-control,pcc_transport_full,256,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
69,ETTh2,siff_q1_wide_pcc,siff-q1-wide-control,pcc_transport_full,430,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
70,ETTh2,siff_independent_pcc,siff-independent-scope-control,pcc_transport_full,116,r2b_p12_d64_ff128_medium,12,64,128,2021,mean_mse_h96_h192_h336_h720,test
