variant,mean_mse,mean_relative_mse_vs_a6_lbf_r256_pct,mean_relative_mse_vs_a6_der_pct,mean_relative_mse_vs_best_stage_control_pct,wins_vs_best_stage_control,horizon_count,best_epoch,last_epoch,last_train_loss,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,last_vs_best_val_mse_pct,ema_decay,ema_eval,self_teacher_decay,self_teacher_loss_weight,self_teacher_warmup_epochs,self_teacher_gate_mode,self_teacher_gate_threshold,self_teacher_gate_temperature,last_train_self_teacher_l1,last_train_self_teacher_target_l1,last_train_self_teacher_advantage_l1,last_train_self_teacher_gate,last_train_weighted_self_teacher_l1,basis_operator_smoothness_weight,last_train_basis_operator_smoothness_loss,last_weighted_basis_operator_smoothness_loss,last_weighted_smoothness_to_train_loss,source_path
a8tag_advratio_w10_d0999_wu1,0.2857792240877946,0.029303388459582063,-0.0022365746558422606,0.9093870360826335,0,12,3,10,0.4544052482174081,0.5149863809347153,0.5026059225201607,0.5170323513448238,3.4245918465752574,0.0,0,0.999,1.0,1,teacher-advantage-ratio,0.0,1.0,0.05011169425449707,0.36416247812978114,-0.002480150593935233,0.007819575925624116,0.0002853369792840834,0.0,0.0,0.0,0.0,analysis/phase5_timealign_hss_a8tag_teacher_advantage_gate_20260705/raw/official-last/TimeAlignOfficialUnified720_A6S_a8tag_advratio_w10_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/training_log.csv
a8tag_advbin_w02_d0999_wu1,0.2872735547522704,0.5727810259955732,0.5406109004304049,1.4546780074507495,0,12,3,10,0.45808100857077344,0.5149863809347153,0.5035714854796728,0.5178988178571066,3.407119175407702,0.0,0,0.999,0.2,1,teacher-advantage-binary,0.0,1.0,0.0407806956275796,0.3665510554554414,-0.003900746848775833,0.6526975774763385,0.015028791420723166,0.0,0.0,0.0,0.0,analysis/phase5_timealign_hss_a8tag_teacher_advantage_gate_20260705/raw/official-last/TimeAlignOfficialUnified720_A6S_a8tag_advbin_w02_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/training_log.csv
a8tag_advbin_w05_d0999_wu1,0.2883717380464077,1.0468802016534162,1.0142719095708472,1.9299910517137604,0,12,3,10,0.46120727848329385,0.5149863809347153,0.5053413237134615,0.5195249939958254,3.380814790404596,0.0,0,0.999,0.5,1,teacher-advantage-binary,0.0,1.0,0.03484857609979853,0.36868797802457026,-0.004472891618064067,0.6414781321413697,0.009142702434828866,0.0,0.0,0.0,0.0,analysis/phase5_timealign_hss_a8tag_teacher_advantage_gate_20260705/raw/official-last/TimeAlignOfficialUnified720_A6S_a8tag_advbin_w05_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/training_log.csv
