scope,dataset,arm,n,mean_mse,mean_relative_mse_vs_best_stage_control_pct,mean_relative_mse_vs_official_unified_pct,mean_relative_mse_vs_a5b_r128_pct,mean_relative_mse_vs_a5q_seg48_pct,mean_relative_mse_vs_a6_der_pct,wins_vs_best_stage_control
ALL,ALL,ALL,36,0.285792227420542,0.9168408933677402,-1.9044167353659442,-11.26577397744527,-25.28508811901764,0.005366481108399583,2
dataset,ETTh2,a6_der,4,0.30787271633744234,2.151940386975287,-3.447972819806205,-17.507057030370866,-15.206512793373232,0.0,0
dataset,ETTh2,a6_lbf_r256,4,0.3079730421304703,2.1580670789160985,-3.444319666474538,-17.50359047281658,-15.195041188557846,0.004478957163991937,0
dataset,ETTh2,a6_lbf_r512,4,0.3076348043978214,2.0384026266408615,-3.5581389783693407,-17.60049782437262,-15.292446716264061,-0.1130123404555039,0
dataset,ETTm1,a6_der,4,0.33471575379371643,0.5680735404511139,-1.0348930956729203,-4.92826408406366,-45.86096850154223,0.0,0
dataset,ETTm1,a6_lbf_r256,4,0.3343806788325309,0.4329352406266973,-1.1649794912462845,-5.050327435944077,-45.918285255267705,-0.13341678671807966,0
dataset,ETTm1,a6_lbf_r512,4,0.33519917726516724,0.6896500170371245,-0.9131381106743526,-4.80917025654205,-45.784865178063974,0.1215956178991423,0
dataset,Weather,a6_der,4,0.21468101069331166,0.01461828484191352,-1.2475833714439029,-11.381096714336639,-14.815793138171255,0.0,2
dataset,Weather,a6_lbf_r256,4,0.2147395983338356,0.049002880385623504,-1.2136513508987645,-11.350356865674051,-14.787624524576287,0.0343963196745789,0
dataset,Weather,a6_lbf_r512,4,0.21493326500058169,0.14887798443494193,-1.1150737337071948,-11.261605112886912,-14.704255775342173,0.13425656241146666,0
arm,ALL,a6_der,12,0.28575649360815686,0.9115440707561051,-1.9101497623076762,-11.272139276257056,-25.294424811028907,0.0,2
arm,ALL,a6_lbf_r256,12,0.2856977730989456,0.8800017333094732,-1.9409835028731957,-11.30142492481157,-25.30031698946728,-0.03151383662650294,0
arm,ALL,a6_lbf_r512,12,0.28592241555452347,0.9589768760376426,-1.8621169409169627,-11.223757731267193,-25.260522556556737,0.04761327995170169,0
