candidate_meta_type,baseline_meta_type,dataset,horizon,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse,is_specialist_gap
all,diag,ETTh2,96,0.28587982058525085,0.2928822934627533,-2.3908829703264245,0.3379214107990265,0.34153738617897034,-1.0587348636699523,True,False
all,diag,ETTh2,192,0.36103692650794983,0.36128297448158264,-0.06810394926189955,0.38821953535079956,0.3884902000427246,-0.06967091882762455,True,False
all,diag,ETTh2,336,0.4075884222984314,0.41543421149253845,-1.8885756100633477,0.4223986864089966,0.42645344138145447,-0.9508083600692441,True,False
all,diag,ETTh2,720,0.4192184805870056,0.43316036462783813,-3.2186426042953076,0.4388217628002167,0.4461468458175659,-1.641854713536306,True,True
all,diag,ETTm1,96,0.30660635232925415,0.30959975719451904,-0.9668627948516639,0.3489746153354645,0.3515148162841797,-0.7226440625084818,True,True
all,diag,ETTm1,192,0.35241472721099854,0.3539258539676666,-0.4269613931075389,0.37626731395721436,0.3772152364253998,-0.2512948514933333,True,False
all,diag,ETTm1,336,0.3826006054878235,0.3879273235797882,-1.3731226877266134,0.3975178599357605,0.4015953540802002,-1.0153240327639312,True,False
all,diag,ETTm1,720,0.44116395711898804,0.4488506019115448,-1.712517430036009,0.434478223323822,0.4387240707874298,-0.9677717149157661,True,True
all,diag,Weather,96,0.15955513715744019,0.16022072732448578,-0.4154207624445516,0.20241579413414001,0.20379231870174408,-0.6754545884620211,True,True
all,diag,Weather,192,0.20902083814144135,0.2088274508714676,0.09260624940194973,0.24695400893688202,0.24687746167182922,0.031006177937187296,False,False
all,diag,Weather,336,0.2647976577281952,0.2651684880256653,-0.13984704601633924,0.2885545790195465,0.288845032453537,-0.10055683891230238,True,False
all,diag,Weather,720,0.3424716889858246,0.3440128266811371,-0.44798843990225823,0.33933302760124207,0.34151914715766907,-0.6401162495928037,True,False
all,off_diag,ETTh2,96,0.28587982058525085,0.2846951186656952,0.41613004294140943,0.3379214107990265,0.3368741273880005,0.31088270837129617,False,False
all,off_diag,ETTh2,192,0.36103692650794983,0.36103323101997375,0.0010235866559016316,0.38821953535079956,0.388217568397522,0.0005066626133753971,False,False
all,off_diag,ETTh2,336,0.4075884222984314,0.40710726380348206,0.11818961186151888,0.4223986864089966,0.42178061604499817,0.14653835204518906,False,False
all,off_diag,ETTh2,720,0.4192184805870056,0.41727137565612793,0.4666279655094918,0.4388217628002167,0.4375399351119995,0.2929624441913026,False,True
all,off_diag,ETTm1,96,0.30660635232925415,0.3112584948539734,-1.4946234726547103,0.3489746153354645,0.35198041796684265,-0.8539687090380443,True,True
all,off_diag,ETTm1,192,0.35241472721099854,0.35241037607192993,0.0012346796133266835,0.37626731395721436,0.37625226378440857,0.0040000218615166006,False,False
all,off_diag,ETTm1,336,0.3826006054878235,0.3823412358760834,0.0678372059832455,0.3975178599357605,0.39739078283309937,0.03197786867505936,False,False
all,off_diag,ETTm1,720,0.44116395711898804,0.4411375820636749,0.0059788728925980195,0.434478223323822,0.43440601229667664,0.016622934559218372,False,True
all,off_diag,Weather,96,0.15955513715744019,0.1587863266468048,0.48417929104529467,0.20241579413414001,0.20147953927516937,0.4646897954694751,False,True
all,off_diag,Weather,192,0.20902083814144135,0.20804840326309204,0.4674079988586044,0.24695400893688202,0.24591653048992157,0.42188235369682303,False,False
all,off_diag,Weather,336,0.2647976577281952,0.26334482431411743,0.551684817752407,0.2885545790195465,0.28689029812812805,0.5801105517605043,False,False
all,off_diag,Weather,720,0.3424716889858246,0.3436903953552246,-0.35459424699384456,0.33933302760124207,0.3403358459472656,-0.29465551688580005,True,False
