meta_type,dataset,horizon,seed,run_dir,has_run_done,has_cov_matrix_pdf,has_A_pth,has_stdout_log,mae,mse,cov_loss,rmse,mape,mspe,mre,metrics_source
all,ETTh2,96,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h96/seed2023,True,True,True,True,0.3379214107990265,0.28587982058525085,0.07764522731304169,0.5346773266792297,1.4477331638336182,423.4652099609375,1.4477331638336182,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h96/seed2023/results/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTh2,192,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h192/seed2023,True,True,True,True,0.38821953535079956,0.36103692650794983,0.2968590557575226,0.6008634567260742,1.5768262147903442,400.9313659667969,1.5768262147903442,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h192/seed2023/results/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTh2,336,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h336/seed2023,True,True,True,True,0.4223986864089966,0.4075884222984314,0.12221484631299973,0.6384265422821045,1.7180107831954956,430.809814453125,1.7180107831954956,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h336/seed2023/results/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTh2,720,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h720/seed2023,True,True,True,True,0.4388217628002167,0.4192184805870056,0.17357994616031647,0.6474708318710327,1.9670287370681763,582.117919921875,1.9670287370681763,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h720/seed2023/results/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTm1,96,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h96/seed2023,True,True,True,True,0.3489746153354645,0.30660635232925415,0.12159207463264465,0.5537204742431641,2.1562538146972656,360.4550476074219,2.1562538146972656,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h96/seed2023/results/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTm1,192,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h192/seed2023,True,True,True,True,0.37626731395721436,0.35241472721099854,0.28731009364128113,0.5936452746391296,2.2813587188720703,387.0262451171875,2.2813587188720703,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h192/seed2023/results/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTm1,336,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h336/seed2023,True,True,True,True,0.3975178599357605,0.3826006054878235,0.16973713040351868,0.6185472011566162,2.3289430141448975,379.2975769042969,2.3289430141448975,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h336/seed2023/results/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,ETTm1,720,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h720/seed2023,True,True,True,True,0.434478223323822,0.44116395711898804,0.22243759036064148,0.6642017364501953,2.522118091583252,435.4696350097656,2.522118091583252,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h720/seed2023/results/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,Weather,96,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h96/seed2023,True,True,True,True,0.20241579413414001,0.15955513715744019,0.05583681911230087,0.39944353699684143,2.6040198802948,74819.328125,2.6040198802948,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h96/seed2023/results/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,Weather,192,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h192/seed2023,True,True,True,True,0.24695400893688202,0.20902083814144135,0.13167434930801392,0.4571879804134369,3.0862560272216797,99389.3046875,3.0862560272216797,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h192/seed2023/results/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,Weather,336,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h336/seed2023,True,True,True,True,0.2885545790195465,0.2647976577281952,0.127803236246109,0.5145849585533142,3.3162975311279297,107512.9140625,3.3162975311279297,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h336/seed2023/results/long_term_forecast_meta_ml3_Weather_96_336_TQNet_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
all,Weather,720,2023,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h720/seed2023,True,True,True,True,0.33933302760124207,0.3424716889858246,0.11838244646787643,0.5852108001708984,3.376373767852783,81298.0703125,3.376373767852783,analysis/phase2_qdf_upstream_gate_20260623/raw/all/Weather/h720/seed2023/results/long_term_forecast_meta_ml3_Weather_96_720_TQNet_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/metrics.npy
