split,arm,reference,metric,macro_gain_percent,cell_wins,dataset_wins,max_dataset_degradation_percent
validation,iscf_v1_cpsi,iscf_v0,mse,-3.1209438077867624,3,1,6.84754651000522
validation,iscf_v1_cpsi,iscf_v0,mae,-1.9852491444735314,2,1,4.501868665696596
validation,iscf_v1_cpsi,a6_full,mse,-1.2102937293297393,10,3,5.331739039959965
validation,iscf_v1_cpsi,a6_full,mae,-0.8743984987336234,8,2,4.3336760500936595
validation,iscf_v1_cpsi_self,iscf_v0,mse,-3.0994295952936195,1,0,4.839912264764052
validation,iscf_v1_cpsi_self,iscf_v0,mae,-1.9831411461376292,0,0,3.360186470437726
validation,iscf_v1_cpsi_self,a6_full,mse,-1.1914121415931522,8,3,4.21863964133114
validation,iscf_v1_cpsi_self,a6_full,mae,-0.8695865498384964,7,2,2.820619300380811
validation,iscf_v1_cpsi_linear,iscf_v0,mse,0.4490999054572459,14,3,0.186700975704171
validation,iscf_v1_cpsi_linear,iscf_v0,mae,0.27001632278177257,13,4,0.5035236374722529
validation,iscf_v1_cpsi_linear,a6_full,mse,2.283379996835167,20,5,0.0
validation,iscf_v1_cpsi_linear,a6_full,mae,1.3564306455953485,18,5,0.0
validation,iscf_v1_cpsi_common,iscf_v0,mse,-3.573341588975478,4,1,7.427286845015946
validation,iscf_v1_cpsi_common,iscf_v0,mae,-2.4826321370025535,2,1,4.914756911650375
validation,iscf_v1_cpsi_common,a6_full,mse,-1.6363355822115233,6,2,5.897852256361158
validation,iscf_v1_cpsi_common,a6_full,mae,-1.3612958421214838,5,1,4.3695296063582685
validation,iscf_v1_cpsi_post,iscf_v0,mse,-0.060753446730320015,14,4,3.198840558353994
validation,iscf_v1_cpsi_post,iscf_v0,mae,-0.33703558588608407,11,2,2.204090224153804
validation,iscf_v1_cpsi_post,a6_full,mse,1.7960295257326875,17,5,0.0
validation,iscf_v1_cpsi_post,a6_full,mae,0.7614692963444403,14,4,0.1650945493548328
test,iscf_v1_cpsi,iscf_v0,mse,-2.212825659790217,4,1,5.053849037682384
test,iscf_v1_cpsi,iscf_v0,mae,-1.6986641114406043,5,1,4.069774485617195
test,iscf_v1_cpsi,a6_full,mse,-0.7775027508137833,7,1,2.6170076302433287
test,iscf_v1_cpsi,a6_full,mae,-1.060634504132893,8,1,4.342195710753538
test,iscf_v1_cpsi_self,iscf_v0,mse,-3.2044350048642434,1,0,5.533514392291044
test,iscf_v1_cpsi_self,iscf_v0,mae,-2.0004439667434655,2,0,4.342964333716898
test,iscf_v1_cpsi_self,a6_full,mse,-1.7577806508536458,6,1,4.230107303345553
test,iscf_v1_cpsi_self,a6_full,mae,-1.3587566426992344,3,0,4.1646756456489795
test,iscf_v1_cpsi_linear,iscf_v0,mse,0.021671166207689607,11,3,3.2163016326971605
test,iscf_v1_cpsi_linear,iscf_v0,mae,0.04724429939054142,11,3,1.6798125144645681
test,iscf_v1_cpsi_linear,a6_full,mse,1.4148447209211894,16,4,2.288147123712625
test,iscf_v1_cpsi_linear,a6_full,mae,0.6610788263103295,16,4,2.6920297761108047
test,iscf_v1_cpsi_common,iscf_v0,mse,-3.0525062466901325,6,2,6.8687059748551995
test,iscf_v1_cpsi_common,iscf_v0,mae,-2.353168995642884,3,0,5.6478310449313565
test,iscf_v1_cpsi_common,a6_full,mse,-1.6020977998581143,9,2,5.754146844674618
test,iscf_v1_cpsi_common,a6_full,mae,-1.7052779579154769,4,2,4.84050882336764
test,iscf_v1_cpsi_post,iscf_v0,mse,-0.4881949030931426,6,1,1.3558334236521086
test,iscf_v1_cpsi_post,iscf_v0,mae,-0.6361653017156726,8,2,2.3682058957867125
test,iscf_v1_cpsi_post,a6_full,mse,0.908152067600474,14,3,0.6730311058660815
test,iscf_v1_cpsi_post,a6_full,mae,-0.0059336387290653825,10,3,1.7830064076751417
