comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,Weather,96,-0.9052163957347981,0.14377045069416455,0.14248069210844252
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,Weather,192,-1.335849335986694,0.18789460042481773,0.18541769931965432
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,Weather,336,-0.8040058496572966,0.2396569181261752,0.23774543095401202
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,Weather,720,-0.15198498183714992,0.311907767732363,0.31143443416416394
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm1,96,1.1521813284425808,0.28574231818471324,0.2890729628886925
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm1,192,0.6892839247216176,0.3240540638008575,0.32630321943829477
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm1,336,0.14670742899736133,0.36651207288925985,0.3670505633338473
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm1,720,-0.22478274479980076,0.42536745533819975,0.4244134471424136
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh1,96,-1.8469916672109399,0.3734890764949303,0.3667158650255675
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh1,192,-1.5730820406137935,0.3989170061037902,0.3927389009858774
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh1,336,-1.9686972827643867,0.42238706392517084,0.4142320880631338
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh1,720,-8.808967235341235,0.5144721038777356,0.4728214199156875
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh2,96,-8.785932888852477,0.26315564280130543,0.24190227156499527
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh2,192,-5.252976462662962,0.30136407450045627,0.2863235650227535
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh2,336,-3.2912944844842196,0.33111190433987603,0.32056128833743447
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTh2,720,-2.8851923147298786,0.4138451654003624,0.4022397743441969
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm2,96,1.6908625784616493,0.1644422422858899,0.16727055754825756
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm2,192,-2.708272238831211,0.22740930048725447,0.22141283806084433
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm2,336,-4.019516853853,0.28296508709827045,0.2720307646648996
effectiveness_vs_iscf,paper_facing_effectiveness,mse,iscf_v1_cpsi,iscf_v0,ETTm2,720,-3.3727856790677135,0.36123925902662807,0.34945295964852435
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,Weather,96,-1.7406908622115136,0.18677728563194754,0.183581695827977
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,Weather,192,-1.5810740087559338,0.23092685334801866,0.22733255737000138
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,Weather,336,-0.873495823648196,0.2722100325758713,0.26985287894826376
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,Weather,720,-0.24704087639797478,0.3213501072402307,0.3205581974598603
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm1,96,0.4319007379371187,0.3374474964973448,0.3389112567160534
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm1,192,0.1497847710446254,0.35975412875221513,0.360293793986626
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm1,336,0.06158248519489984,0.3813271224832792,0.38156209790573137
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm1,720,-0.02550477984288868,0.41147393832190954,0.41136901955912913
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh1,96,-2.269791643958663,0.41302861307788385,0.403861791872813
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh1,192,-2.5658670091198488,0.4298096871494817,0.41905723578709114
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh1,336,-3.0495520014532262,0.4490424486994578,0.43575390671579567
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh1,720,-5.385903425968919,0.5077847371264218,0.48183364246920224
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh2,96,-6.970491239348298,0.33699105327266016,0.31503178995283565
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh2,192,-4.199166608914062,0.36327960665272385,0.3486396470100423
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh2,336,-2.7870066264501947,0.38831846228956707,0.3777894454119078
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTh2,720,-2.322433467756224,0.4453929710220627,0.43528379449890103
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm2,96,1.7468497845301467,0.2500692190212495,0.2545152175506291
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm2,192,0.05736979362624961,0.2906815018079703,0.2908483609123911
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm2,336,-0.917186594896191,0.32742393959127564,0.3244481447006915
effectiveness_vs_iscf,paper_facing_effectiveness,mae,iscf_v1_cpsi,iscf_v0,ETTm2,720,-1.485564832422992,0.38142991633551465,0.3758464733042053
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,Weather,96,1.1760483343988049,0.14377045069416455,0.14548138206479796
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,Weather,192,-0.603279615502017,0.18789460042481773,0.18676786794917266
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,Weather,336,-1.0645515425514507,0.2396569181261752,0.23713252022423698
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,Weather,720,-1.0215273520805646,0.311907767732363,0.3087537635867462
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm1,96,3.1130148635998833,0.28574231818471324,0.2949233251323049
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm1,192,2.8602403235658436,0.3240540638008575,0.3335957026044323
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm1,336,1.5092366096390641,0.36651207288925985,0.37212837049157194
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm1,720,1.1306237395734442,0.42536745533819975,0.4302317577262367
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh1,96,-1.3930874913577362,0.3734890764949303,0.3683575337685271
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh1,192,-0.28079453777352104,0.3989170061037902,0.3978000054173156
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh1,336,-0.8724670346231145,0.42238706392517084,0.41873374999363516
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh1,720,-7.921681457218943,0.5144721038777356,0.4767087548405893
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh2,96,-3.495199083305822,0.26315564280130543,0.2542684541236401
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh2,192,-1.2084347934877115,0.30136407450045627,0.2977657693406475
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh2,336,0.40652526599058714,0.33111190433987603,0.33246345227355256
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTh2,720,0.9340387243216064,0.4138451654003624,0.417747084943459
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm2,96,-0.3504804438503317,0.1644422422858899,0.16386791728207142
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm2,192,-3.9354376011618175,0.22740930048725447,0.21879861742624002
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm2,336,-3.136684515840016,0.28296508709827045,0.27435930137429604
context_vs_a6_full,paper_facing_effectiveness_context,mse,iscf_v1_cpsi,a6_full,ETTm2,720,-1.3961574086118533,0.36123925902662807,0.35626523554624073
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,Weather,96,0.7666165677861159,0.18677728563194754,0.18822021296848626
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,Weather,192,-0.8514086913431251,0.23092685334801866,0.22897732053973874
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,Weather,336,-1.1125662670609548,0.2722100325758713,0.269214839090231
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,Weather,720,-0.9571807409542776,0.3213501072402307,0.31830336869725195
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,ETTm1,96,0.8606495334164466,0.3374474964973448,0.3403769491218189
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,ETTm1,192,0.801127303530802,0.35975412875221513,0.36265949296923805
context_vs_a6_full,paper_facing_effectiveness_context,mae,iscf_v1_cpsi,a6_full,ETTm1,336,0.5322400014120432,0.3813271224832792,0.38336755797928146
