dataset,arm,horizon,mse,mae,seed,source
Weather,a6_full,96,0.14548138206479796,0.18822021296848626,2021,reused_reference
Weather,a6_full,192,0.18676786794917266,0.22897732053973874,2021,reused_reference
Weather,a6_full,336,0.23713252022423698,0.269214839090231,2021,reused_reference
Weather,a6_full,720,0.3087537635867462,0.31830336869725195,2021,reused_reference
ETTm1,a6_full,96,0.2949233251323049,0.3403769491218189,2021,reused_reference
ETTm1,a6_full,192,0.3335957026044323,0.36265949296923805,2021,reused_reference
ETTm1,a6_full,336,0.37212837049157194,0.38336755797928146,2021,reused_reference
ETTm1,a6_full,720,0.4302317577262367,0.4146105503964692,2021,reused_reference
ETTh1,a6_full,96,0.3683575337685271,0.3979891945221554,2021,reused_reference
ETTh1,a6_full,192,0.3978000054173156,0.4159008895346605,2021,reused_reference
ETTh1,a6_full,336,0.41873374999363516,0.43154498664489677,2021,reused_reference
ETTh1,a6_full,720,0.4767087548405893,0.4781802844090327,2021,reused_reference
ETTh2,a6_full,96,0.2542684541236401,0.32779328299926563,2021,reused_reference
ETTh2,a6_full,192,0.2977657693406475,0.35808473236882227,2021,reused_reference
ETTh2,a6_full,336,0.33246345227355256,0.38648877673088555,2021,reused_reference
ETTh2,a6_full,720,0.417747084943459,0.4460598590900987,2021,reused_reference
ETTm2,a6_full,96,0.16386791728207142,0.2501797320491976,2021,reused_reference
ETTm2,a6_full,192,0.21879861742624002,0.2886578825908774,2021,reused_reference
ETTm2,a6_full,336,0.27435930137429604,0.3267809551451797,2021,reused_reference
ETTm2,a6_full,720,0.35626523554624073,0.38448402771962803,2021,reused_reference
Weather,iscf_v0,96,0.14248069210844252,0.183581695827977,2021,reused_reference
Weather,iscf_v0,192,0.18541769931965432,0.22733255737000138,2021,reused_reference
Weather,iscf_v0,336,0.23774543095401202,0.26985287894826376,2021,reused_reference
Weather,iscf_v0,720,0.31143443416416394,0.3205581974598603,2021,reused_reference
ETTm1,iscf_v0,96,0.2890729628886925,0.3389112567160534,2021,reused_reference
ETTm1,iscf_v0,192,0.32630321943829477,0.360293793986626,2021,reused_reference
ETTm1,iscf_v0,336,0.3670505633338473,0.38156209790573137,2021,reused_reference
ETTm1,iscf_v0,720,0.4244134471424136,0.41136901955912913,2021,reused_reference
ETTh1,iscf_v0,96,0.3667158650255675,0.403861791872813,2021,reused_reference
ETTh1,iscf_v0,192,0.3927389009858774,0.41905723578709114,2021,reused_reference
ETTh1,iscf_v0,336,0.4142320880631338,0.43575390671579567,2021,reused_reference
ETTh1,iscf_v0,720,0.4728214199156875,0.48183364246920224,2021,reused_reference
ETTh2,iscf_v0,96,0.24190227156499527,0.31503178995283565,2021,reused_reference
ETTh2,iscf_v0,192,0.2863235650227535,0.3486396470100423,2021,reused_reference
ETTh2,iscf_v0,336,0.32056128833743447,0.3777894454119078,2021,reused_reference
ETTh2,iscf_v0,720,0.4022397743441969,0.43528379449890103,2021,reused_reference
ETTm2,iscf_v0,96,0.16727055754825756,0.2545152175506291,2021,reused_reference
ETTm2,iscf_v0,192,0.22141283806084433,0.2908483609123911,2021,reused_reference
ETTm2,iscf_v0,336,0.2720307646648996,0.3244481447006915,2021,reused_reference
ETTm2,iscf_v0,720,0.34945295964852435,0.3758464733042053,2021,reused_reference
Weather,iscf_v1_cpsi,96,0.14377045069416455,0.18677728563194754,2021,new_training
Weather,iscf_v1_cpsi,192,0.18789460042481773,0.23092685334801866,2021,new_training
Weather,iscf_v1_cpsi,336,0.2396569181261752,0.2722100325758713,2021,new_training
Weather,iscf_v1_cpsi,720,0.311907767732363,0.3213501072402307,2021,new_training
ETTm1,iscf_v1_cpsi,96,0.28574231818471324,0.3374474964973448,2021,new_training
ETTm1,iscf_v1_cpsi,192,0.3240540638008575,0.35975412875221513,2021,new_training
ETTm1,iscf_v1_cpsi,336,0.36651207288925985,0.3813271224832792,2021,new_training
ETTm1,iscf_v1_cpsi,720,0.42536745533819975,0.41147393832190954,2021,new_training
ETTh1,iscf_v1_cpsi,96,0.3734890764949303,0.41302861307788385,2021,new_training
ETTh1,iscf_v1_cpsi,192,0.3989170061037902,0.4298096871494817,2021,new_training
ETTh1,iscf_v1_cpsi,336,0.42238706392517084,0.4490424486994578,2021,new_training
ETTh1,iscf_v1_cpsi,720,0.5144721038777356,0.5077847371264218,2021,new_training
ETTh2,iscf_v1_cpsi,96,0.26315564280130543,0.33699105327266016,2021,new_training
ETTh2,iscf_v1_cpsi,192,0.30136407450045627,0.36327960665272385,2021,new_training
ETTh2,iscf_v1_cpsi,336,0.33111190433987603,0.38831846228956707,2021,new_training
ETTh2,iscf_v1_cpsi,720,0.4138451654003624,0.4453929710220627,2021,new_training
ETTm2,iscf_v1_cpsi,96,0.1644422422858899,0.2500692190212495,2021,new_training
