dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_full_pct,beats_full,relative_mse_vs_multi_prefix_pct,beats_multi_prefix,relative_mse_vs_stochastic_prefix_pct,beats_stochastic_prefix,relative_mse_vs_continuous_prefix_pct,beats_continuous_prefix,fixed_mse,relative_mse_vs_fixed_pct,beats_fixed
ETTh2,stochastic_prefix_k2,96,0.24324072897434235,0.31563088297843933,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.355721649715792,True,0.19250261750283215,False,0.2486809035813442,False,-0.2764029953717606,True,0.2697129249572754,-9.81495268983733,True
ETTh2,stochastic_prefix_k2,192,0.28293031454086304,0.3458016812801361,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-4.402951822181766,True,-0.04474712923476787,True,0.10398890560059382,False,-0.6415891206881019,True,0.33459872007369995,-15.44190172677775,True
ETTh2,stochastic_prefix_k2,336,0.3120284080505371,0.3709297776222229,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-4.503991429203646,True,-0.2631753674638526,True,0.11642071376463115,False,-0.6848612733568626,True,0.37489190697669983,-16.768433182013133,True
ETTh2,stochastic_prefix_k2,720,0.3941796123981476,0.4293217360973358,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.249829002442194,True,0.02746005737646051,False,-0.40034226839182896,True,0.08795408196082821,False,0.40325209498405457,-2.249829002442194,True
ETTh2,continuous_prefix_k2,96,0.24343371391296387,0.31576451659202576,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.2782515847984963,True,0.27199441992220574,False,0.3282172773319214,False,-0.1972832183171347,True,0.2697129249572754,-9.74340070965244,True
ETTh2,continuous_prefix_k2,192,0.2847745716571808,0.34688299894332886,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.7798106197728942,True,0.6068026586322661,False,0.7565082166208548,False,0.00607020357892285,False,0.33459872007369995,-14.890716977502105,True
ETTh2,continuous_prefix_k2,336,0.3138013780117035,0.37191885709762573,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.9613755960328123,True,0.3035371161859146,False,0.6852900922099892,False,-0.12054484219752304,True,0.37489190697669983,-16.295504871699784,True
ETTh2,continuous_prefix_k2,720,0.39318665862083435,0.42869821190834045,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.4960654856903353,True,-0.2245130056004574,True,-0.651237680668526,True,-0.16417136781726738,True,0.40325209498405457,-2.4960654856903353,True
ETTh2,continuous_prefix_pool96,96,0.24406294524669647,0.3162067234516144,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.0256588559541933,True,0.5311790651822967,False,0.5875472483276578,False,0.06068843064324092,False,0.2697129249572754,-9.510104016943966,True
ETTh2,continuous_prefix_pool96,192,0.2862255275249481,0.3477175235748291,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.289558812645288,True,1.1194047136731333,False,1.2698730369484323,False,0.5156114646888366,False,0.33459872007369995,-14.457076386334345,True
ETTh2,continuous_prefix_pool96,336,0.31584885716438293,0.3731658458709717,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.334746476157502,True,0.957993774364585,False,1.3422375975125078,False,0.5311447823424853,False,0.37489190697669983,-15.749353003767707,True
ETTh2,continuous_prefix_pool96,720,0.39565736055374146,0.4303787052631378,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.8833713512668604,True,0.4024550849204722,False,-0.02695103789358555,True,0.4631758968130617,False,0.40325209498405457,-1.8833713512668604,True
ETTm2,stochastic_prefix_k2,96,0.1627001166343689,0.24838872253894806,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.931855150689333,True,-0.04725469622151035,True,-0.30005987318062477,True,-0.8147211010739452,True,0.15492716431617737,5.017165551631986,False
ETTm2,stochastic_prefix_k2,192,0.2161111831665039,0.2846425771713257,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.5525039021331288,True,-0.003226819781565471,True,-0.2597459758767573,True,-0.4700555263127182,True,0.21023891866207123,2.7931386547281,False
ETTm2,stochastic_prefix_k2,336,0.26650094985961914,0.3184361755847931,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.0418818833130783,True,0.048523425559166,False,-0.2483893511724733,True,-0.28186026885339555,True,0.26330146193504333,1.2151424838518832,False
ETTm2,stochastic_prefix_k2,720,0.3411462604999542,0.3702295422554016,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.7044047045091428,True,0.06761816394349474,False,-0.43778962770659735,True,-0.41154407938631676,True,0.343566358089447,-0.7044047045091428,True
ETTm2,continuous_prefix_k2,96,0.163612961769104,0.24926170706748962,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.3872447005162556,True,0.5135400907854137,False,0.2593165253174323,False,-0.2582322604193332,True,0.15492716431617737,5.60637477053445,False
ETTm2,continuous_prefix_k2,192,0.21683627367019653,0.2852303385734558,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.2221954771504118,True,0.33227969853228956,False,0.07489987617552707,False,-0.1361152992800263,True,0.21023891866207123,3.1380274642344386,False
ETTm2,continuous_prefix_k2,336,0.26691824197769165,0.3187606930732727,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.8869314310496534,True,0.20518125462982706,False,-0.09219643362107233,True,-0.12571976068417312,True,0.26330146193504333,1.373627026628732,False
ETTm2,continuous_prefix_k2,720,0.34174689650535583,0.37040603160858154,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.5295808338770747,True,0.24380128949192947,False,-0.262496343707741,True,-0.2362045864057638,True,0.343566358089447,-0.5295808338770747,True
ETTm2,continuous_prefix_pool96,96,0.1646517515182495,0.2503226101398468,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.7674947216970383,True,1.15170734824257,False,0.895869700180274,False,0.3750349622335225,False,0.15492716431617737,6.276876779482055,False
ETTm2,continuous_prefix_pool96,192,0.21747028827667236,0.2858264148235321,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.9333758539246673,True,0.6256445020920598,False,0.3675121185331198,False,0.15587994896877344,False,0.21023891866207123,3.439596084597696,False
ETTm2,continuous_prefix_pool96,336,0.26727691292762756,0.3191175162792206,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.7537484076965306,True,0.3398318026133662,False,0.04205451358154644,False,0.00848613960269251,False,0.26330146193504333,1.5098476717022358,False
ETTm2,continuous_prefix_pool96,720,0.3412040174007416,0.3705558478832245,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.6875937160559897,True,0.08455985776669728,False,-0.4209335006653325,True,-0.39468350890917714,True,0.343566358089447,-0.6875937160559897,True
