dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,continuous_min_prefix,continuous_prefix_step,val_mean_mse,lr,epoch_seconds
ETTh2,stochastic_prefix_k2,1,0.7645813168677609,0.4543974863744415,0.5522525266999692,0.2160855947078857,0.9409823597004984,stochastic-prefix,2,32,32,0.40846946090459824,0.0005,4.3313515186309814
ETTh2,stochastic_prefix_k2,2,0.650010456026128,0.4216587772939058,0.5153555543021818,0.1360725644085787,0.9227911587310048,stochastic-prefix,2,32,32,0.42988185584545135,0.0004877641290737884,3.7262349128723145
ETTh2,stochastic_prefix_k2,3,0.6037149497893004,0.4096409869668758,0.5085945567198559,0.10237452532865304,0.9169943836410489,stochastic-prefix,2,32,32,0.4224919192492962,0.0004522542485937369,4.041271686553955
ETTh2,stochastic_prefix_k2,4,0.5743919823285752,0.3988748902240686,0.4938607094562159,0.08402980908553685,0.914872829892994,stochastic-prefix,2,32,32,0.42496557906270027,0.0003969463130731183,3.9490323066711426
ETTh2,stochastic_prefix_k2,5,0.54729882937617,0.3941082466492611,0.48518482167108923,0.06200629233720556,0.9118428865892697,stochastic-prefix,2,32,32,0.4430098161101341,0.00032725424859373687,4.154465675354004
ETTh2,stochastic_prefix_k2,6,0.5292367556717543,0.39243650436401367,0.4807474398243744,0.04579032538870795,0.9100992550364638,stochastic-prefix,2,32,32,0.4474331848323345,0.00025,4.056928634643555
ETTh2,stochastic_prefix_k2,7,0.5110035708784002,0.385649459947527,0.47532580595100876,0.03448059050514635,0.9087351753120929,stochastic-prefix,2,32,32,0.4452885389328003,0.00017274575140626317,3.983773946762085
ETTh2,stochastic_prefix_k2,8,0.5044181360080179,0.3860554668755658,0.47351854380253144,0.027606530279844207,0.9075613781414201,stochastic-prefix,2,32,32,0.4471878334879875,0.00010305368692688174,4.005825519561768
ETTh2,stochastic_prefix_k2,9,0.49281678236691295,0.3780934386021268,0.47019724772039767,0.02404909677374943,0.9067424622784673,stochastic-prefix,2,32,32,0.4438858814537525,4.7745751406263163e-05,4.1796793937683105
ETTh2,stochastic_prefix_k2,10,0.4978138461577154,0.38472263145763264,0.471657838177892,0.022454478810912212,0.9063673164464731,stochastic-prefix,2,32,32,0.44691114127635956,1.2235870926211617e-05,3.9747567176818848
ETTh2,continuous_prefix_k2,1,0.7788085832005054,0.4686282361503196,0.5534744229728141,0.2160855947078857,0.9409475302801723,continuous-prefix,2,32,32,0.4117847606539726,0.0005,4.7373034954071045
ETTh2,continuous_prefix_k2,2,0.6570617494593679,0.4287037081950534,0.5185416683686518,0.1360725644085787,0.9228547779859695,continuous-prefix,2,32,32,0.4300506263971329,0.0004877641290737884,4.219077825546265
ETTh2,continuous_prefix_k2,3,0.6179859075134835,0.42390463745172047,0.5093192492438628,0.10237452532865304,0.9170674475948367,continuous-prefix,2,32,32,0.4263381324708462,0.0004522542485937369,4.01130223274231
