dataset,arm,settings,wins_vs_full,mean_relative_mse_vs_full_pct,wins_vs_multi_prefix,mean_relative_mse_vs_multi_prefix_pct,wins_vs_stochastic_prefix,mean_relative_mse_vs_stochastic_prefix_pct,wins_vs_continuous_prefix,mean_relative_mse_vs_continuous_prefix_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,stochastic_prefix_k2,4,4,-3.3781234758858494,2,-0.021989955454831955,1,0.01718706363868505,3,-0.37872482686397424,4,-11.068779150267602
ETTh2,continuous_prefix_k2,4,4,-3.1288758215736348,1,0.23945529728498227,1,0.2796944763735598,3,-0.11898230618825056,4,-10.856422011136166
ETTh2,continuous_prefix_pool96,4,4,-2.6333338740059604,0,0.7527581595351218,1,0.7931767112237531,0,0.3926551436219061,4,-10.39997618957822
ETTm2,stochastic_prefix_k2,4,4,-1.5576614101611708,2,0.01641501837489623,4,-0.3114962069841132,4,-0.49454524390659393,1,2.0802604964257063
ETTm2,continuous_prefix_k2,4,4,-1.2564881106483488,0,0.32370058335986496,2,-0.005119093958963483,4,-0.1890679766973241,1,2.397112106880136
ETTm2,continuous_prefix_pool96,4,4,-1.0355531748435565,0,0.5504358776786733,1,0.22112570790740194,1,0.03617938547395283,1,2.6346817049314994
Weather,stochastic_prefix_k2,4,4,-1.1540123172774308,0,0.017592158932067115,3,-0.08482116744077117,4,-0.21633701321369658,2,-0.11707548298693637
Weather,continuous_prefix_k2,4,4,-0.9621156215888799,0,0.21174771469250064,0,0.1091563964502884,3,-0.022613299729887237,2,0.07673726617730414
Weather,continuous_prefix_pool96,4,4,-0.7563307395502539,0,0.42001120045561113,0,0.31716569001210004,0,0.18511706284003449,1,0.2849666786364058
ALL,stochastic_prefix_k2,12,12,-2.0299324011081503,4,0.004005740617377129,8,-0.12637677026206642,11,-0.3632023613280883,7,-3.035198045609611
ALL,continuous_prefix_k2,12,12,-1.7824931846036207,1,0.25830119844578264,3,0.12791059295496157,10,-0.11022119420515397,7,-2.7941908793595753
ALL,continuous_prefix_pool96,12,12,-1.4750725961332567,0,0.5744017458898021,2,0.4438227030477517,1,0.2046505306452978,6,-2.4934426020034386
