dataset,arm,target_horizon,mse,mae,source_path
ETTm2,continuous_prefix_k2,336,0.26691824197769165,0.3187606930732727,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,continuous_prefix_k2,720,0.34174689650535583,0.37040603160858154,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,continuous_prefix_pool96,96,0.1646517515182495,0.2503226101398468,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,continuous_prefix_pool96,192,0.21747028827667236,0.2858264148235321,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,continuous_prefix_pool96,336,0.26727691292762756,0.3191175162792206,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,continuous_prefix_pool96,720,0.3412040174007416,0.3705558478832245,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,stochastic_prefix_k2,96,0.14142897725105286,0.18172869086265564,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,stochastic_prefix_k2,192,0.1825951188802719,0.22333727777004242,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,stochastic_prefix_k2,336,0.23182637989521027,0.2637006938457489,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,stochastic_prefix_k2,720,0.3036358058452606,0.3146688938140869,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_k2,96,0.1416926383972168,0.18228721618652344,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_k2,192,0.18295080959796906,0.22373996675014496,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_k2,336,0.2322036772966385,0.2640235722064972,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_k2,720,0.3043418228626251,0.3152399957180023,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_pool96,96,0.14201609790325165,0.18271738290786743,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_pool96,192,0.18341238796710968,0.2242315262556076,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_pool96,336,0.23271885514259338,0.2645256817340851,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,continuous_prefix_pool96,720,0.3047340512275696,0.3158050775527954,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
