epoch,train_loss,mse,mae
1,0.558255376122522,0.56655353307724,0.3884575664997101
2,0.5263991856828649,0.5784645080566406,0.39088335633277893
3,0.5183142174220254,0.56259685754776,0.38516199588775635
4,0.5129069440753747,0.5537737607955933,0.385005384683609
5,0.5074311762202716,0.5647568106651306,0.39228594303131104
6,0.5026463200437262,0.5569296479225159,0.3952611982822418
7,0.4980485774312459,0.563928484916687,0.3972027599811554
8,0.492075245536811,0.5636221170425415,0.40150752663612366
9,0.48659785070740585,0.5771892070770264,0.4049398899078369
10,0.4808616986934175,0.5796160697937012,0.40966692566871643
11,0.47560666226748877,0.6097412705421448,0.4175303876399994
12,0.46904302900987316,0.6003338694572449,0.41701507568359375
13,0.4636357383313754,0.6131830811500549,0.4217245280742645
14,0.45864625898658806,0.6239095330238342,0.42708659172058105
