dataset,horizon,segment,segment_start,segment_end,future_region,full_mse,mixed_mse,single_mse,r3_mse,winner_strategy,mixed_vs_full_mse_pct,single_vs_full_mse_pct,r3_vs_full_mse_pct,r3_vs_single_mse_pct,r3_vs_mixed_mse_pct
ETTh2,96,1-96,1,96,early_1_96,0.3393581807613373,0.3089098036289215,0.3012893795967102,0.30479592084884644,single_720_prefix_risk,-8.972342161932268,-11.21788226210465,-10.184596061586525,1.16384495757198,-1.3317423829697805
ETTh2,192,1-96,1,96,early_1_96,0.3345992863178253,0.30742982029914856,0.30064982175827026,0.30273088812828064,single_720_prefix_risk,-8.120001186395044,-10.14630513207596,-9.524347329083627,0.6921894574358323,-1.5284568576644841
ETTh2,192,97-192,97,192,middle_97_336,0.44287991523742676,0.43090277910232544,0.42996275424957275,0.4353557229042053,single_720_prefix_risk,-2.7043755480942067,-2.916628310166003,-1.6989238108004345,1.2542874007877902,1.033398719580414
ETTh2,336,1-96,1,96,early_1_96,0.29967692494392395,0.28088927268981934,0.2765951156616211,0.27497684955596924,r3_prefix_risk,-6.26930226864153,-7.70223108990522,-8.242234664072523,-0.585066768724718,-2.104894600364138
ETTh2,336,193-336,193,336,middle_97_336,0.4574902653694153,0.4475020170211792,0.45109429955482483,0.4543939232826233,mixed_horizon_uniform,-2.1832701380368746,-1.3980550623139076,-0.6768104856377133,0.7314709432273414,1.5400838430450925
ETTh2,336,97-192,97,192,middle_97_336,0.3950093984603882,0.38066166639328003,0.382169246673584,0.3836177885532379,mixed_horizon_uniform,-3.632250807963233,-3.250593995193718,-2.883883257348019,0.3790315134621913,0.7765746911073901
ETTh2,720,1-96,1,96,early_1_96,0.2677626609802246,0.25483042001724243,0.25238046050071716,0.2497519701719284,r3_prefix_risk,-4.829740231755942,-5.744714525616212,-6.726363841157957,-1.0414793298870628,-1.9928742592703053
ETTh2,720,193-336,193,336,middle_97_336,0.3720743954181671,0.3662429451942444,0.3688109219074249,0.36967068910598755,mixed_horizon_uniform,-1.5672807093777275,-0.8771024157882334,-0.6460284130753169,0.23311869239557304,0.9359208024949606
ETTh2,720,337-720,337,720,late_337_720,0.49324503540992737,0.4898923635482788,0.49592500925064087,0.4840433597564697,r3_prefix_risk,-0.6797173049825411,0.5433351880544057,-1.86553842266457,-2.3958560815726337,-1.1939365107561328
ETTh2,720,97-192,97,192,middle_97_336,0.34515154361724854,0.33678752183914185,0.3377416133880615,0.33811911940574646,mixed_horizon_uniform,-2.4232896919568314,-2.1468628392994127,-2.0374888484637865,0.1117736170849648,0.39538209709581995
Weather,96,1-96,1,96,early_1_96,0.15470075607299805,0.15020199120044708,0.14922431111335754,0.14802636206150055,r3_prefix_risk,-2.908043235695723,-3.540024689379251,-4.314390039792748,-0.802784105967147,-1.4484689061432743
Weather,192,1-96,1,96,early_1_96,0.15561041235923767,0.1511474996805191,0.15017393231391907,0.14898328483104706,r3_prefix_risk,-2.868003889364179,-3.493647991092075,-4.258794400525989,-0.792845645396778,-1.4318562027466952
Weather,192,97-192,97,192,middle_97_336,0.24580314755439758,0.23790328204631805,0.23786354064941406,0.23583491146564484,r3_prefix_risk,-3.2138992468887073,-3.2300672241092565,-4.0553736548661234,-0.8528541945649448,-0.8694165809240539
Weather,336,1-96,1,96,early_1_96,0.1569167673587799,0.15239015221595764,0.1513451784849167,0.15019100904464722,r3_prefix_risk,-2.8847236780454755,-3.5506650867489165,-4.286194794438181,-0.7626073402691835,-1.4431005805374708
Weather,336,193-336,193,336,middle_97_336,0.32984283566474915,0.3158990442752838,0.31778115034103394,0.31298476457595825,r3_prefix_risk,-4.22740465511815,-3.6567977289567843,-5.110940504381722,-1.509336145308915,-0.9225351428369555
Weather,336,97-192,97,192,middle_97_336,0.24739544093608856,0.23912915587425232,0.23932598531246185,0.23710891604423523,r3_prefix_risk,-3.3413247352329867,-3.2617640782278357,-4.157928235432085,-0.9263805037016959,-0.8448320835789058
Weather,720,1-96,1,96,early_1_96,0.15296243131160736,0.14931601285934448,0.1482786238193512,0.14746259152889252,r3_prefix_risk,-2.3838653851118385,-3.062063967010664,-3.5955494009577094,-0.5503371082354103,-1.2412743248092828
Weather,720,193-336,193,336,middle_97_336,0.32862523198127747,0.3154842257499695,0.3174162805080414,0.3130928874015808,r3_prefix_risk,-3.998781880527258,-3.410861486702488,-4.726461351142253,-1.3620577682848412,-0.7579898306179889
Weather,720,337-720,337,720,late_337_720,0.4128761291503906,0.3926902711391449,0.3966931700706482,0.3891408443450928,r3_prefix_risk,-4.889083331793442,-3.919567622628961,-5.7487665499431735,-1.9038204575618,-0.9038743903065583
Weather,720,97-192,97,192,middle_97_336,0.24120700359344482,0.2341366857290268,0.2344738245010376,0.2326873242855072,r3_prefix_risk,-2.9312241183241383,-2.791452566508401,-3.5321027917985193,-0.7619188279681444,-0.6190236438201713
