group,settings,mixed_wins,single_wins,r3_wins,mixed_beats_full,single_beats_full,r3_beats_full,mean_mixed_vs_full_mse_pct,mean_single_vs_full_mse_pct,mean_r3_vs_full_mse_pct,mean_r3_vs_mixed_mse_pct,mean_r3_vs_single_mse_pct,mean_interaction_residual_abs,dataset
ETTh2,4,1,2,1,4,4,4,-4.718499928766981,-5.2704053827418855,-5.070780481124556,-0.3801990899539087,0.24853825955348796,-0.017926909029483795,ETTh2
Weather,4,0,0,4,4,4,4,-3.529081185972524,-3.515941292745914,-4.590816079988702,-1.0994575878806394,-1.114349948340565,-0.006017018109560013,Weather
