group,settings,mixed_wins,single_wins,r3_wins,mixed_beats_full,single_beats_full,r3_beats_full,mean_mixed_vs_full_mse_pct,mean_single_vs_full_mse_pct,mean_r3_vs_full_mse_pct,mean_r3_vs_mixed_mse_pct,mean_r3_vs_single_mse_pct,mean_interaction_residual_abs,horizon
96,2,0,1,1,2,2,2,-5.940192698813996,-7.378953475741951,-7.249493050689637,-1.3901056445565274,0.18053042580241652,-0.018627867102622986,96
192,2,0,1,1,2,2,2,-4.057439527327439,-4.680125494974341,-4.600454159654749,-0.5606057873760673,0.09668169384771108,-0.013941049575805664,192
336,2,1,0,1,2,2,2,-3.616855856168666,-3.41281137458504,-3.827340134979773,-0.21944504173546653,-0.43012841449636685,-0.010862894356250763,336
720,2,0,0,2,2,2,2,-2.88067414716891,-2.1008030056742677,-3.6459057769023584,-0.7891568820010353,-1.5787070827279148,-0.004456043243408203,720
