comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm2,96,-4.536596956426209,0.2570937686808783,0.24593661566010439
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm2,192,-2.6118569053732443,0.29276698080566765,0.28531496226177055
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm2,336,-1.3234189762626025,0.32682222816677275,0.32255349401833605
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm2,720,0.008423240117316766,0.3778377014241379,0.37786953028200376
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,Weather,96,0.2868554292584591,0.14226326643408893,0.14267253033341074
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,Weather,192,-0.4859536129490527,0.18534350720630186,0.18444717947366693
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,Weather,336,-1.4678019003480758,0.23831301012039718,0.2348656476804783
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,Weather,720,-1.163668018771702,0.30990243883580365,0.3063376851641034
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm1,96,1.4424390244254015,0.28192920746072786,0.28605538192102586
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm1,192,0.4333150054441792,0.3226731900765245,0.32407746636755846
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm1,336,-0.2731914669740432,0.3638915464184403,0.362900134218119
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm1,720,0.08134080474715422,0.4220871404047322,0.4224307489754483
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh1,96,-0.8627382839073272,0.3685761305282808,0.36542348224853544
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh1,192,-1.9538456586524866,0.40142941148704503,0.3937364097388288
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh1,336,-7.3858712467030685,0.4390991775281478,0.4088984634853711
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh1,720,-6.1160481991892945,0.4962784586033915,0.46767521692084923
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh2,96,-1.0649868182805111,0.24693585162209505,0.24433372960914454
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh2,192,-1.2327560648579983,0.28995278283575815,0.2864218994986076
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh2,336,-0.8323098292732034,0.32441276261485524,0.3217349311586167
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTh2,720,0.8894007445013563,0.40378330306203686,0.40740678201442215
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm2,96,-1.4523009619027194,0.16862529179995178,0.16621140200977189
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm2,192,-0.3565754821044598,0.223133863148563,0.22234104947946548
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm2,336,0.5661171306554191,0.27428065274988755,0.2758422429407593
effectiveness_vs_parent,paper_facing_effectiveness,mse,tsaf,siff_v2_direct_parent,ETTm2,720,0.10385446679747057,0.349078494270983,0.34944140477868546
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,Weather,96,0.9205119547950114,0.18419236973369532,0.18590363491750947
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,Weather,192,0.060765638555371204,0.22792029048207052,0.22805887191186994
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,Weather,336,-0.5286150822020108,0.2708840045471525,0.2694596004586866
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,Weather,720,-0.2007572610744246,0.3207312536878515,0.3200886524761304
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm1,96,0.08615083404601709,0.3361060951146954,0.3363959029908186
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm1,192,-0.18268624183948035,0.359119036807138,0.3584641720828189
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm1,336,-0.4794229409430528,0.381483913047582,0.37966371808464683
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTm1,720,-0.18104205500735215,0.4109234255027314,0.41018082570662606
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh1,96,-1.5427484841278982,0.4023602280229598,0.39624713140973583
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh1,192,-2.0886755244246435,0.4210976643159992,0.4124822485479811
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh1,336,-5.305270235468362,0.4478225160298748,0.4252612571322585
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh1,720,-4.296159438201497,0.4940690347357579,0.47371738077134873
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh2,96,-0.7635391038222306,0.32041395100243886,0.3179860035208754
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh2,192,-0.8312604811045121,0.3525165417730261,0.34961036893819913
effectiveness_vs_parent,paper_facing_effectiveness,mae,tsaf,siff_v2_direct_parent,ETTh2,336,-0.46498403745589556,0.38158959702345385,0.37982347847802134
