dataset,all_finite,arm_prediction_pairwise_nrmse,target_scale_surface_std,ordered_permuted_allocation_nrmse,allocation_normalized_entropy,scale_component_contribution_rms,request_invariance_max_abs
Weather,True,0.18999138651054384,0.1638200125067194,0.2882060762385312,0.8016257118132444,0.19312636813625278,0.0
ETTm1,True,0.16369794705864385,0.10863469233173464,0.27589241350017707,0.915484082417143,0.12251335890650981,0.0
ETTh1,True,0.35700658304605376,0.02629291045773595,0.1444301745148497,0.9943238278005012,0.20032970445630396,0.0
ETTh2,True,0.07775484889667164,0.01971574170949323,0.14046379474849113,0.9968523158278145,0.028003429147232993,0.0
ETTm2,True,0.08287722492681683,0.04830423995243396,0.26859022073769584,0.9813052461806636,0.03627930669742623,0.0
