run_name,dataset,epochs_ran,best_epoch,best_val_mean_mse,last_val_mean_mse,last_minus_best_val_mse_pct,train_prediction_l1_drop_pct,train_alignment_loss_first,train_alignment_loss_last
TimeAlignOfficialFixedH96_official-last,ETTh2,10,6,0.21775902807712555,0.22027446329593658,1.1551462371149679,-15.477477921011495,0.956628229423445,0.8943887272659613
TimeAlignOfficialFixedH192_official-last,ETTh2,10,1,0.2921443283557892,0.31051987409591675,6.289886181787807,-14.673843067816128,0.9559942949409327,0.9000400748134645
TimeAlignOfficialFixedH336_official-last,ETTh2,10,1,0.38440319895744324,0.444864422082901,15.728595206657303,-14.074097285256816,0.9497742422488558,0.9046296056579141
TimeAlignOfficialFixedH720_official-last,ETTh2,10,1,0.6295323371887207,0.804793119430542,27.839837906417465,-16.012176657418408,0.9408742803915412,0.9071339727503008
TimeAlignOfficialUnified720_official-last,ETTh2,10,1,0.4068785011768341,0.4913294166326523,20.755806760877448,-16.012176657418408,0.9408742803915412,0.9071339727503008
TimeAlignOfficialFixedH96_official-last,ETTm2,10,8,0.1121629998087883,0.11233170330524445,0.15040922295566084,-12.208124751732175,0.9450801525070769,0.8908819933073215
TimeAlignOfficialFixedH192_official-last,ETTm2,10,2,0.15459051728248596,0.15607057511806488,0.9574053192890064,-9.850598018694068,0.9433114983056434,0.8892723617104976
TimeAlignOfficialFixedH336_official-last,ETTm2,10,6,0.20010632276535034,0.2014862447977066,0.6895944182505387,-8.230285192875996,0.9341657335180362,0.8735761030484702
TimeAlignOfficialFixedH720_official-last,ETTm2,10,3,0.2748199999332428,0.2793921232223511,1.6636792410373635,-7.387638631148919,0.9397388652945117,0.878314917094459
TimeAlignOfficialUnified720_official-last,ETTm2,10,3,0.184626754373312,0.1864786073565483,1.0030252600833345,-7.387638631148919,0.9397388652945117,0.878314917094459
TimeAlignOfficialFixedH96_official-last,Weather,10,2,0.3781995177268982,0.3816252052783966,0.9057884505215386,-13.666070594186152,0.49138049451066246,0.47372825713233746
TimeAlignOfficialFixedH192_official-last,Weather,10,9,0.4382709562778473,0.4389383792877197,0.15228547552881277,-10.679405440689127,0.4779128106964959,0.4565775877369775
TimeAlignOfficialFixedH336_official-last,Weather,10,3,0.5004923343658447,0.5039277076721191,0.686398785833009,-8.59152044789161,0.5091554843687586,0.4769055438360998
TimeAlignOfficialFixedH720_official-last,Weather,10,3,0.5920195579528809,0.5966583490371704,0.783553688721006,-7.110638142960579,0.5026924148040558,0.46107986332707457
TimeAlignOfficialUnified720_official-last,Weather,10,5,0.4895046278834343,0.4907093271613121,0.24610579946644506,-7.110638142960579,0.5026924148040558,0.46107986332707457
