checkpoint_policy,dataset,target_horizon,fixed_mse,unified_mse,relative_mse_pct,fixed_mae,unified_mae,relative_mae_pct,unified_win
official-last,ETTh2,96,0.2697129249572754,0.24910904467105865,-7.63918907092812,0.33105576038360596,0.31970900297164917,-3.427445998465306,True
official-last,ETTh2,192,0.33459872007369995,0.2959613502025604,-11.547375274666061,0.3746242821216583,0.35337868332862854,-5.671175043087661,True
official-last,ETTh2,336,0.37489190697669983,0.3267449736595154,-12.842884154385558,0.40398865938186646,0.3787094056606293,-6.257416671031402,True
official-last,ETTh2,720,0.40325209498405457,0.40325209498405457,0.0,0.43513625860214233,0.43513625860214233,0.0,False
official-last,ETTm2,96,0.15492716431617737,0.16761432588100433,8.189113652745128,0.24113230407238007,0.2530774176120758,4.953759134699021,False
official-last,ETTm2,192,0.21023891866207123,0.2195192277431488,4.414172761226154,0.2806570529937744,0.2874913811683655,2.435117201470316,False
official-last,ETTm2,336,0.26330146193504333,0.26930680871009827,2.2807874787024396,0.31695154309272766,0.32044097781181335,1.1009363403114314,False
official-last,ETTm2,720,0.343566358089447,0.343566358089447,0.0,0.3716011643409729,0.3716011643409729,0.0,False
official-last,Weather,96,0.14042679965496063,0.14317019283771515,1.9536108417305353,0.1782880425453186,0.18443308770656586,3.446695063515137,False
official-last,Weather,192,0.1822342574596405,0.18486426770687103,1.443202987129344,0.22007882595062256,0.22576011717319489,2.5814801574082447,False
official-last,Weather,336,0.2326551377773285,0.23452013731002808,0.8016154513142748,0.2622069716453552,0.266031950712204,1.4587632978814158,False
official-last,Weather,720,0.3067764937877655,0.3067764937877655,0.0,0.31663402915000916,0.31663402915000916,0.0,False
