dataset,settings,unified_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,3,-8.007362124994934,-3.8390094281460923
ETTm2,4,0,3.7210184731684306,2.1224531691201918
Weather,4,0,1.0496073200435385,1.8717346297011994
ALL,12,3,-1.078912110594322,0.051726123558433014
