dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ECL,ECL__h5a_budget90,h5a_budget90,0.1310278918112292,,,5706565,True
ECL,ECL__h5a_patch2,h5a_patch2,0.13474175206538924,,,6562629,True
ECL,ECL__h5a_patch4,h5a_patch4,0.1356996198376042,,,8551237,True
ECL,ECL__h5a_patch8,h5a_patch8,0.13698497793931952,,,12666693,True
ECL,ECL__h5a_patch12,h5a_patch12,0.13578051605732144,,,16812869,True
ECL,ECL__h5a_seq512_p1,h5a_seq512_p1,0.1324522674736005,,,5600069,True
ECL,ECL__h5a_seq512_p4,h5a_seq512_p4,0.13477600329714487,,,8524613,True
ECL,ECL__h5a_seq336_p1,h5a_seq336_p1,0.13434920653493868,,,5509957,True
ECL,ECL__h5a_lr7e4,h5a_lr7e4,0.1314144323512058,,,5706565,True
ECL,ECL__h5a_lr1e3,h5a_lr1e3,0.13207960976278482,,,5706565,True
ECL,ECL__h5a_dropout6,h5a_dropout6,0.13055714757767475,,,5706565,True
ECL,ECL__h5a_dropout7,h5a_dropout7,0.13021713687076478,,,5706565,True
ECL,ECL__h5a_rank96,h5a_rank96,0.13102222750247974,,,6080965,True
ECL,ECL__h5a_rank128,h5a_rank128,0.1309957161003868,,,6455365,True
ECL,ECL__h5a_wd1e3,h5a_wd1e3,0.13110873248319083,,,5706565,True
ECL,ECL__h5a_ff1024,h5a_ff1024,0.1308045395320126,,,3607365,True
Solar,Solar__h5a_budget90,h5a_budget90,0.12729996938705593,,,3893061,True
Solar,Solar__h5a_lr1p5e4,h5a_lr1p5e4,0.12892008884589323,,,3893061,True
Solar,Solar__h5a_lr2p5e4,h5a_lr2p5e4,0.1275812307838235,,,3893061,True
Solar,Solar__h5a_lr3p5e4,h5a_lr3p5e4,0.1275298386446218,,,3893061,True
Solar,Solar__h5a_rank32,h5a_rank32,0.12801252936698138,,,1786821,True
Solar,Solar__h5a_rank64_budget90,h5a_rank64_budget90,0.12676349178150376,,,2488901,True
Solar,Solar__h5a_lr2p5e4_rank64,h5a_lr2p5e4_rank64,0.12716521095326966,,,2488901,True
Solar,Solar__h5a_lr2p5e4_dropout2,h5a_lr2p5e4_dropout2,0.12776230326607696,,,3893061,True
Solar,Solar__h5a_patch2_lr2e4,h5a_patch2_lr2e4,0.13061989058558193,,,2243397,True
Solar,Solar__h5a_patch2_lr2p5e4,h5a_patch2_lr2p5e4,0.13039882416182774,,,2243397,True
Solar,Solar__h5a_patch2_lr3e4_rank64,h5a_patch2_lr3e4_rank64,0.1299268948164397,,,1494597,True
Solar,Solar__h5a_patch2_lr2p5e4_dropout2,h5a_patch2_lr2p5e4_dropout2,0.13026622714486807,,,2243397,True
Solar,Solar__h5a_seq512_p4_lr2p5e4,h5a_seq512_p4_lr2p5e4,0.12853897678259749,,,3879749,True
Solar,Solar__h5a_d128_ff128_lr2p5e4,h5a_d128_ff128_lr2p5e4,0.12873510306164954,,,1976517,True
Solar,Solar__h5a_d512_ff512_lr2p5e4,h5a_d512_ff512_lr2p5e4,0.1273606096218813,,,8119365,True
Solar,Solar__h5a_wd5e2_lr2p5e4,h5a_wd5e2_lr2p5e4,0.12763868366861955,,,3893061,True
ETTh1,ETTh1__h5a_budget90,h5a_budget90,1.1339971943922886,,,2420425,True
ETTh1,ETTh1__h5a_lr2p5e4,h5a_lr2p5e4,1.135173594237246,,,2420425,True
ETTh1,ETTh1__h5a_lr3p5e4,h5a_lr3p5e4,1.1346538086562226,,,2420425,True
ETTh1,ETTh1__h5a_lr4e4,h5a_lr4e4,1.1381605107329844,,,2420425,True
ETTh1,ETTh1__h5a_dropout0,h5a_dropout0,1.1327311019490782,,,2420425,True
ETTh1,ETTh1__h5a_dropout05,h5a_dropout05,1.1337364804138252,,,2420425,True
ETTh1,ETTh1__h5a_dropout15,h5a_dropout15,1.1344815179036694,,,2420425,True
ETTh1,ETTh1__h5a_seq512_p16,h5a_seq512_p16,1.1100787386621556,,,1669897,True
ETTh1,ETTh1__h5a_seq512_p32,h5a_seq512_p32,1.1313107577586798,,,3170569,True
ETTh1,ETTh1__h5a_seq336_p12,h5a_seq336_p12,1.1016299703673993,,,1294473,True
ETTh1,ETTh1__h5a_seq336_p24,h5a_seq336_p24,1.1203233908804593,,,2419913,True
ETTh1,ETTh1__h5a_patch12,h5a_patch12,1.1225698047993882,,,1295497,True
ETTh1,ETTh1__h5a_d16_ff16,h5a_d16_ff16,1.1397167795773833,,,1290841,True
ETTh1,ETTh1__h5a_d32_ff64,h5a_d32_ff64,1.1425508140309137,,,2424585,True
ETTh1,ETTh1__h5a_wd1e3,h5a_wd1e3,1.1338751646762137,,,2420425,True
ETTh1,ETTh1__h5a_layernorm0,h5a_layernorm0,1.1045670934518548,,,2420297,True
