strategy,baseline_strategy,settings,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct
RG-A_late_conflict_adapter,D0_full_time_mse,8,7,6,-1.3101798655159758,-0.2255695174633629
RG-A_late_conflict_adapter,D1_r3_prefix_risk,8,1,0,3.7604982299150005,2.958598591361011
