model,strategy,dataset,horizon,mse,mae,baseline_model,baseline_strategy,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,96,0.33390194177627563,0.38208234310150146,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3393581807613373,0.3825231194496155,-1.6078112432182379,-0.11522868179790757,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,192,0.37733152508735657,0.40965673327445984,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.38873955607414246,0.41329216957092285,-2.9346205727029506,-0.8796286414613941,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,336,0.3870258033275604,0.4203636944293976,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.39454904198646545,0.42475733160972595,-1.9067943039545177,-1.0343876028407917,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,720,0.40827181935310364,0.4431067407131195,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4192008078098297,0.44865214824676514,-2.6071010010276563,-1.236014929453888,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,96,0.15633253753185272,0.2080884575843811,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15470075607299805,0.204793781042099,1.0547986320666114,1.60877763256142,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,192,0.2000516951084137,0.2473195642232895,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.20070676505565643,0.24629350006580353,-0.3263815980797058,0.4166022072088049,True,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,336,0.25431668758392334,0.28666210174560547,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.2568790018558502,0.28697192668914795,-0.9974790673488942,-0.10796350260354748,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,720,0.3345685303211212,0.3402198851108551,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3384815454483032,0.3417808413505554,-1.156049769862455,-0.45671262131959933,True,True
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,96,0.33390194177627563,0.38208234310150146,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.30479592084884644,0.35886070132255554,9.549347263693653,6.470934736894907,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,192,0.37733152508735657,0.40965673327445984,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3690433204174042,0.4003613591194153,2.2458622636979397,2.3217460784650923,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,336,0.3870258033275604,0.4203636944293976,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3829101622104645,0.41559359431266785,1.074832042413587,1.1477799903578445,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,ETTh2,720,0.40827181935310364,0.4431067407131195,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.41047340631484985,0.43929871916770935,-0.5363531297950863,0.866841030773946,True,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,96,0.15633253753185272,0.2080884575843811,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14802636206150055,0.19702932238578796,5.611281230367071,5.612938756871477,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,192,0.2000516951084137,0.2473195642232895,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.19240911304950714,0.23990498483181,3.97204786082046,3.090631650141673,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,336,0.25431668758392334,0.28666210174560547,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.24479345977306366,0.28043317794799805,3.8903113750212936,2.221179335193524,False,False
PatchEncoderLateConflictAdapterRouting,RG-A_late_conflict_adapter,Weather,720,0.3345685303211212,0.3402198851108551,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3208470046520233,0.3337559103965759,4.276656933101086,1.936737152189627,False,False
