epoch,train_loss,mse,mae
1,0.5421754779323699,0.2882743179798126,0.36935940384864807
2,0.46316938220508513,0.29554039239883423,0.3698377311229706
3,0.4332417552433317,0.29137149453163147,0.3681800663471222
4,0.41220232134773616,0.29379960894584656,0.36877477169036865
5,0.39216579946260605,0.29700967669487,0.36945855617523193
6,0.3778993615082332,0.29047948122024536,0.3675884008407593
7,0.3643034251909407,0.28514382243156433,0.363675594329834
8,0.3532289848441169,0.29491370916366577,0.36866024136543274
9,0.33860522130179027,0.2994290292263031,0.3692304193973541
10,0.3238569273362084,0.3115772008895874,0.3779594600200653
11,0.3117661237243622,0.304951548576355,0.3762608468532562
12,0.30130081209871507,0.30581650137901306,0.37734878063201904
13,0.2934997968730472,0.30453476309776306,0.374673068523407
14,0.28539256491358317,0.3038336932659149,0.3780234456062317
15,0.2789429918168083,0.3207687437534332,0.38501933217048645
16,0.2734293642025145,0.321596622467041,0.3870351016521454
17,0.2677417541780169,0.3281342387199402,0.388445645570755
