epoch,train_loss,mse,mae
1,0.4308206416181221,0.9585790634155273,0.6511748433113098
2,0.40208018020195063,0.9608373045921326,0.654211699962616
3,0.39109807624214,0.988757848739624,0.6658704280853271
4,0.37863580808328945,1.0354043245315552,0.6786695122718811
5,0.36643627948231167,1.059566855430603,0.6821727156639099
6,0.35451497029070655,1.0893534421920776,0.6911858320236206
7,0.34277115939220704,1.1091862916946411,0.698930561542511
8,0.3324333329995473,1.101431965827942,0.6975074410438538
9,0.3229989430000042,1.127523422241211,0.699117124080658
10,0.31429286809259904,1.0780224800109863,0.686738133430481
11,0.30655513070095547,1.1001818180084229,0.6952148675918579
