target_horizon,segment_start,segment_end,mse,mae,mode,run_name,dataset,pred_len,checkpoint_policy,evaluation_split,official_test_mode,protocol_class,protocol_profile,profile_hash
336,0,96,0.17142502963542938,0.20262132585048676,fixed,TimeAlign__Solar__H336__seed2021,Solar,336,official-last,test,1,native_external,TIMEALIGN-OFFICIAL-MAIN-I-8DATASET-REPRODUCTION-20260806,6440e2c7ea2d3e7263959cb4e8da441030b43a4ff396fe51fa2ffc2ab07b3039
336,96,192,0.20564891397953033,0.22313296794891357,fixed,TimeAlign__Solar__H336__seed2021,Solar,336,official-last,test,1,native_external,TIMEALIGN-OFFICIAL-MAIN-I-8DATASET-REPRODUCTION-20260806,6440e2c7ea2d3e7263959cb4e8da441030b43a4ff396fe51fa2ffc2ab07b3039
336,192,288,0.21861258149147034,0.2316613644361496,fixed,TimeAlign__Solar__H336__seed2021,Solar,336,official-last,test,1,native_external,TIMEALIGN-OFFICIAL-MAIN-I-8DATASET-REPRODUCTION-20260806,6440e2c7ea2d3e7263959cb4e8da441030b43a4ff396fe51fa2ffc2ab07b3039
336,288,336,0.23214764893054962,0.23713871836662292,fixed,TimeAlign__Solar__H336__seed2021,Solar,336,official-last,test,1,native_external,TIMEALIGN-OFFICIAL-MAIN-I-8DATASET-REPRODUCTION-20260806,6440e2c7ea2d3e7263959cb4e8da441030b43a4ff396fe51fa2ffc2ab07b3039
