dataset,seed,split,loss,basis,batch_count,mean_responsibility_js,mean_short_pair_cosine,mean_long_pair_cosine,mean_short_negative_pair_fraction,mean_long_negative_pair_fraction,mean_same_component_cosine,mean_same_component_negative_fraction,mean_short_zero_group_count,mean_long_zero_group_count,mean_short_alignment_efficiency,mean_long_alignment_efficiency,mean_short_cancellation,mean_long_cancellation,mean_short_additivity_relative_gap,mean_long_additivity_relative_gap,component_negative_fraction,maximum_cancellation
ETTh1,2021,train,l1,dct,4,0.004516624205280095,0.0013938575755760429,0.001116030363066654,0.4880952380952381,0.5,0.5472536342484611,0.0,0.0,0.0,0.4002689445761099,0.4320477591708056,0.5997310554238902,0.5679522408291944,2.820094480395871e-07,2.4850506038722367e-07,0.5,0.5997310554238902
ETTh1,2021,train,l1,random_s20260715,4,0.00023197697009891272,0.03624852126120545,0.1065966663604957,0.08333333333333333,0.011904761904761904,0.5164235159754753,0.0,0.0,0.0,0.48175275111725435,0.5595692290915124,0.5182472488827456,0.44043077090848753,2.6250181285826644e-07,2.3946395870358036e-07,0.08333333333333333,0.5182472488827456
ETTh1,2021,train,l1,random_s20260716,4,0.00032978778472170234,0.04365474025585822,0.10765243333853072,0.023809523809523808,0.0,0.5193363374897412,0.0,0.0,0.0,0.48050052066150517,0.5608724049294015,0.5194994793384948,0.4391275950705985,2.6100488602200937e-07,2.406786598109217e-07,0.023809523809523808,0.5194994793384948
ETTh1,2021,train,l1,random_s20260717,4,0.0003008913263329305,0.03884240647312254,0.1031223270942324,0.08333333333333333,0.03571428571428571,0.526305079460144,0.0,0.0,0.0,0.48049922528304045,0.5596685906156935,0.5195007747169595,0.4403314093843065,2.6181158022001617e-07,2.391872241329801e-07,0.08333333333333333,0.5195007747169595
ETTh1,2021,train,l1,rgnb,4,0.10207008011639118,0.0017247087438590823,0.027018239170068965,0.25,0.2738095238095238,0.6232139736413955,0.0,2.0,0.0,0.5034147976095247,0.46854295650011446,0.49658520239047527,0.5314570434998855,2.624185092373735e-07,2.317397186212928e-07,0.2738095238095238,0.5314570434998855
ETTh1,2021,train,mse,dct,4,0.00887428899295628,0.00018573601985172856,0.0018405595799863691,0.4880952380952381,0.5714285714285714,0.5082964556557792,0.0,0.0,0.0,0.4224010445069153,0.4867715103432906,0.5775989554930847,0.5132284896567094,2.7128461477467e-07,2.2113037036402023e-07,0.5714285714285714,0.5775989554930847
ETTh1,2021,train,mse,random_s20260715,4,0.0005133534432388842,0.042225931760012395,0.14614529974226442,0.11904761904761904,0.011904761904761904,0.46329968316214426,0.0,0.0,0.0,0.4920796173715267,0.6008692761562133,0.5079203826284733,0.39913072384378667,2.562931614306667e-07,2.1443836114069108e-07,0.11904761904761904,0.5079203826284733
ETTh1,2021,train,mse,random_s20260716,4,0.0007162688416428864,0.05191020463548956,0.14780419509458753,0.03571428571428571,0.0,0.4651878923177719,0.0,0.0,0.0,0.4907613659468804,0.6038861074596084,0.5092386340531196,0.39611389254039164,2.554175124607638e-07,2.141232310345551e-07,0.03571428571428571,0.5092386340531196
ETTh1,2021,train,mse,random_s20260717,4,0.0007030452179606073,0.04516687811562969,0.13877626190826828,0.08333333333333333,0.047619047619047616,0.47450139799288343,0.0,0.0,0.0,0.4892462362416035,0.599198208364939,0.5107537637583965,0.40080179163506097,2.557460579191611e-07,2.160557271046721e-07,0.08333333333333333,0.5107537637583965
ETTh1,2021,train,mse,rgnb,4,0.09424060210585594,0.0016642710368614643,0.033689786290605775,0.26190476190476186,0.30952380952380953,0.5795644730329513,0.0,2.0,0.0,0.5118991137212009,0.5154667084643402,0.4881008862787991,0.4845332915356598,2.5771166754753296e-07,2.1150543451425578e-07,0.30952380952380953,0.4881008862787991
ETTh1,2021,validation,l1,dct,4,0.005565000348724425,0.003057427450715165,0.007426530982012905,0.38095238095238093,0.16666666666666666,0.5355033384902137,0.0,0.0,0.0,0.4228591239719065,0.4738945293654538,0.5771408760280935,0.5261054706345463,2.742609649106375e-07,2.3814260102159116e-07,0.38095238095238093,0.5771408760280935
ETTh1,2021,validation,l1,random_s20260715,4,0.00033698385232128203,0.04671932886343538,0.1330771052910547,0.08333333333333333,0.011904761904761904,0.5033528964434352,0.0,0.0,0.0,0.4983266212397357,0.5875254190478859,0.5016733787602643,0.4124745809521141,2.535554105430219e-07,2.246914162748922e-07,0.08333333333333333,0.5016733787602643
ETTh1,2021,validation,l1,random_s20260716,4,0.0004601962282322347,0.056105350715196914,0.13025620484369851,0.023809523809523808,0.0,0.5126921619687762,0.0,0.0,0.0,0.4946438471019039,0.5860866236843336,0.5053561528980961,0.4139133763156664,2.5216291363817197e-07,2.2575418937596954e-07,0.023809523809523808,0.5053561528980961
