dataset,seed,split,loss,target,batch_count,negative_fraction,mean_short_norm,mean_long_norm,mean_norm_ratio,mean_cosine,mean_dot
ETTh1,2021,train,l1,all_params,4,0.0,0.3777925744652748,0.18903294205665588,2.0141630065867147,0.650975838303566,0.04652665462344885
ETTh1,2021,train,l1,basis_params,4,0.0,0.06215917691588402,0.025755595415830612,2.4159324920958953,0.5149480998516083,0.0008273005078081042
ETTh1,2021,train,l1,coeff_params,4,0.0,0.3656473457813263,0.17895081639289856,2.0613478211953957,0.6522320508956909,0.04264695476740599
ETTh1,2021,train,l1,coeff_tensor,4,0.0,0.005508184782229364,0.002927423978690058,1.883258027874966,0.5496436506509781,8.894407756088185e-06
ETTh1,2021,train,l1,encoder_params,4,0.0,0.06843748036772013,0.05238078348338604,1.3858814719255435,0.7178695648908615,0.0028893523704027757
ETTh1,2021,train,mse,all_params,4,0.0,0.552565723657608,0.34098028391599655,1.6295506937103852,0.6211221069097519,0.11985793709754944
ETTh1,2021,train,mse,basis_params,4,0.0,0.07988977991044521,0.03719905111938715,2.1559811196009724,0.47138505429029465,0.0013915996823925525
ETTh1,2021,train,mse,coeff_params,4,0.0,0.5361063703894615,0.32243868708610535,1.6720214603385757,0.6243914216756821,0.1104890238493681
ETTh1,2021,train,mse,coeff_tensor,4,0.0,0.007812943425960839,0.005143581656739116,1.5199038929270894,0.49015651643276215,1.9994116428279085e-05
ETTh1,2021,train,mse,encoder_params,4,0.0,0.10190216638147831,0.10095362551510334,1.1831461644286814,0.6646423041820526,0.0074231025064364076
ETTh1,2021,validation,l1,all_params,4,0.0,0.7751858681440353,0.35917627066373825,2.200017819821783,0.5889287665486336,0.16228406131267548
ETTh1,2021,validation,l1,basis_params,4,0.0,0.09997989051043987,0.053441678173840046,1.910151929447096,0.4399755820631981,0.0023169839987531304
ETTh1,2021,validation,l1,coeff_params,4,0.0,0.7517887502908707,0.30645614117383957,2.473705109391963,0.6232268735766411,0.14377333223819733
ETTh1,2021,validation,l1,coeff_tensor,4,0.0,0.008572117192670703,0.0046889453660696745,1.8284945470580878,0.5107597932219505,2.058146719718934e-05
ETTh1,2021,validation,l1,encoder_params,4,0.0,0.15506309643387794,0.17375216633081436,1.3466880092468472,0.5797958672046661,0.015530147356912494
ETTh1,2021,validation,mse,all_params,4,0.0,1.508447378873825,0.9780904352664948,1.663325105945012,0.519916370511055,0.7554579973220825
ETTh1,2021,validation,mse,basis_params,4,0.0,0.18604547902941704,0.14272922277450562,1.3515075227867435,0.3759758844971657,0.009888295317068696
ETTh1,2021,validation,mse,coeff_params,4,0.0,1.4565287232398987,0.7828417122364044,1.916289527079851,0.5684865191578865,0.6503103971481323
ETTh1,2021,validation,mse,coeff_tensor,4,0.0,0.01876390166580677,0.013237513834610581,1.4168642487852416,0.4955231696367264,0.0001236747375514824
ETTh1,2021,validation,mse,encoder_params,4,0.0,0.33076614886522293,0.5554511621594429,1.7094268991832415,0.4768446534872055,0.09077959042042494
ETTh1,2022,train,l1,all_params,4,0.0,0.3455204963684082,0.18093040958046913,1.9509024354812605,0.6145411431789398,0.03890001866966486
ETTh1,2022,train,l1,basis_params,4,0.0,0.06603800691664219,0.02719211857765913,2.4371535389694126,0.5223635584115982,0.0009366700251121074
ETTh1,2022,train,l1,coeff_params,4,0.0,0.33307477086782455,0.17159167304635048,1.9856175541696945,0.6153039187192917,0.03552430123090744
ETTh1,2022,train,l1,coeff_tensor,4,0.0,0.005319434916600585,0.0028756584506481886,1.8511439296131968,0.5450140982866287,8.360336664736678e-06
ETTh1,2022,train,l1,encoder_params,4,0.0,0.060109556652605534,0.04814986512064934,1.283044991370002,0.6590619832277298,0.0022783589738537557
ETTh1,2022,train,mse,all_params,4,0.0,0.5128390565514565,0.3491785302758217,1.4943018509667976,0.5844828635454178,0.10965439584106207
ETTh1,2022,train,mse,basis_params,4,0.0,0.08752664178609848,0.040392776019871235,2.176811287240565,0.4676925092935562,0.0016450585681013763
ETTh1,2022,train,mse,coeff_params,4,0.0,0.4953443259000778,0.3305361270904541,1.526060876875181,0.5840310156345367,0.10057011060416698
ETTh1,2022,train,mse,coeff_tensor,4,0.0,0.007635544519871473,0.005192513577640057,1.4711458948366476,0.4778105914592743,1.9128206076857168e-05
ETTh1,2022,train,mse,encoder_params,4,0.0,0.09380449913442135,0.10121812857687473,1.300711477239548,0.6869885474443436,0.00688916991930455
ETTh1,2022,validation,l1,all_params,4,0.0,0.6573484390974045,0.32160571217536926,2.074858274474323,0.5411430299282074,0.11299585364758968
ETTh1,2022,validation,l1,basis_params,4,0.0,0.10580050386488438,0.05429518036544323,1.9866697447923278,0.44373976439237595,0.0025106605608016253
ETTh1,2022,validation,l1,coeff_params,4,0.0,0.63504858314991,0.27891166508197784,2.2920344496486633,0.5680594369769096,0.10046308115124702
ETTh1,2022,validation,l1,coeff_tensor,4,0.0,0.008189967833459377,0.004522587521933019,1.8111598415981973,0.49811311066150665,1.851192155299941e-05
ETTh1,2022,validation,l1,encoder_params,4,0.0,0.12761989422142506,0.14577936753630638,1.3712487923599896,0.5279477760195732,0.009572186041623354
ETTh1,2022,validation,mse,all_params,4,0.0,1.3413311541080475,0.912148728966713,1.5875714571039552,0.466089092195034,0.5571609735488892
ETTh1,2022,validation,mse,basis_params,4,0.0,0.19522322341799736,0.14831329323351383,1.3655307525921834,0.36006301641464233,0.010246749268844724
ETTh1,2022,validation,mse,coeff_params,4,0.0,1.295557662844658,0.754908874630928,1.7743321160116419,0.5131677985191345,0.4956764802336693
ETTh1,2022,validation,mse,coeff_tensor,4,0.0,0.017742140218615532,0.012916694628074765,1.3733586725923048,0.46635646373033524,0.00010756725532701239
ETTh1,2022,validation,mse,encoder_params,4,0.0,0.27577945962548256,0.47792819887399673,1.8056248710217688,0.3700745590031147,0.04853606456890702
