dataset,seed,split,batch_index,learned_span_error_energy_share,learned_complement_error_energy_share
ETTh2,2023,validation,0,0.847589701814605,0.15241029818539498
ETTh2,2023,validation,1,0.832782637600226,0.16721736239977403
ETTh2,2023,validation,2,0.8422710366655087,0.15772896333449127
ETTh2,2023,validation,3,0.8266310928539504,0.17336890714604958
ETTm1,2021,train,0,0.7216375406828451,0.27836245931715486
ETTm1,2021,train,1,0.7092358574443436,0.2907641425556564
ETTm1,2021,train,2,0.7118492703005331,0.28815072969946687
ETTm1,2021,train,3,0.7899553857858119,0.21004461421418807
ETTm1,2021,validation,0,0.8243433560796236,0.1756566439203764
ETTm1,2021,validation,1,0.8614597573964186,0.13854024260358144
ETTm1,2021,validation,2,0.8413482666563408,0.15865173334365923
ETTm1,2021,validation,3,0.8577231946270117,0.14227680537298826
ETTm1,2022,train,0,0.7365963409125937,0.26340365908740626
ETTm1,2022,train,1,0.7218799914115624,0.27812000858843755
ETTm1,2022,train,2,0.7232679751556914,0.2767320248443086
ETTm1,2022,train,3,0.7932488364996453,0.20675116350035472
ETTm1,2022,validation,0,0.8356200123676862,0.16437998763231376
ETTm1,2022,validation,1,0.8694212196369565,0.1305787803630435
ETTm1,2022,validation,2,0.8486659734620526,0.15133402653794736
ETTm1,2022,validation,3,0.8678021623265538,0.13219783767344617
ETTm1,2023,train,0,0.724934177726128,0.275065822273872
ETTm1,2023,train,1,0.710920693868476,0.289079306131524
ETTm1,2023,train,2,0.7147906529270124,0.2852093470729876
ETTm1,2023,train,3,0.7815021144095413,0.21849788559045868
ETTm1,2023,validation,0,0.8262751076619852,0.1737248923380148
ETTm1,2023,validation,1,0.8598779378175161,0.1401220621824839
ETTm1,2023,validation,2,0.8429127717815982,0.15708722821840182
ETTm1,2023,validation,3,0.85993317084309,0.14006682915691004
ETTm2,2021,train,0,0.8504472440770241,0.1495527559229759
ETTm2,2021,train,1,0.8631500759156245,0.13684992408437546
ETTm2,2021,train,2,0.8873625108016847,0.11263748919831529
ETTm2,2021,train,3,0.8874074339249192,0.11259256607508084
ETTm2,2021,validation,0,0.9081233971923204,0.09187660280767962
ETTm2,2021,validation,1,0.8709236941384747,0.1290763058615253
ETTm2,2021,validation,2,0.8569681247278459,0.1430318752721541
ETTm2,2021,validation,3,0.8525278560149113,0.14747214398508868
ETTm2,2022,train,0,0.8033650085557641,0.1966349914442359
ETTm2,2022,train,1,0.8031266835085972,0.19687331649140283
ETTm2,2022,train,2,0.8214142500227695,0.17858574997723053
ETTm2,2022,train,3,0.8410591266976123,0.1589408733023877
ETTm2,2022,validation,0,0.8754828649390656,0.12451713506093443
ETTm2,2022,validation,1,0.8286924922826989,0.17130750771730108
ETTm2,2022,validation,2,0.8098326712515258,0.1901673287484742
ETTm2,2022,validation,3,0.8014106678067778,0.19858933219322217
ETTm2,2023,train,0,0.7488103095843925,0.25118969041560746
ETTm2,2023,train,1,0.7484416670645769,0.25155833293542307
ETTm2,2023,train,2,0.7599536281849505,0.2400463718150495
ETTm2,2023,train,3,0.7988398577722591,0.20116014222774092
ETTm2,2023,validation,0,0.8345851500214564,0.1654148499785436
ETTm2,2023,validation,1,0.7790730636637357,0.22092693633626426
ETTm2,2023,validation,2,0.759044425075658,0.24095557492434205
ETTm2,2023,validation,3,0.7377620585803647,0.2622379414196353
Weather,2021,train,0,0.7132606738575796,0.28673932614242037
Weather,2021,train,1,0.7970894874290435,0.2029105125709565
Weather,2021,train,2,0.777209368570263,0.22279063142973698
Weather,2021,train,3,0.7505403614794568,0.2494596385205432
Weather,2021,validation,0,0.8654289541157121,0.13457104588428792
Weather,2021,validation,1,0.7687039273555994,0.23129607264440055
Weather,2021,validation,2,0.8467486764690337,0.15325132353096627
Weather,2021,validation,3,0.7884272439596103,0.21157275604038972
Weather,2022,train,0,0.7256138937600517,0.2743861062399483
Weather,2022,train,1,0.803619930521209,0.19638006947879105
Weather,2022,train,2,0.7866815212285584,0.2133184787714416
Weather,2022,train,3,0.7483712722382585,0.2516287277617415
Weather,2022,validation,0,0.8670037181070441,0.13299628189295587
Weather,2022,validation,1,0.7746073449594055,0.22539265504059447
Weather,2022,validation,2,0.8531126662892414,0.14688733371075857
Weather,2022,validation,3,0.789830090746339,0.21016990925366097
Weather,2023,train,0,0.7310336816444222,0.2689663183555778
Weather,2023,train,1,0.8027950857226805,0.19720491427731945
Weather,2023,train,2,0.7872225169330994,0.21277748306690059
Weather,2023,train,3,0.7433153599010556,0.2566846400989444
Weather,2023,validation,0,0.8731438684184659,0.12685613158153408
Weather,2023,validation,1,0.7843984478596703,0.21560155214032972
Weather,2023,validation,2,0.8558382797753306,0.14416172022466944
Weather,2023,validation,3,0.797184123030636,0.20281587696936398
