dataset,seed,split,batch_index,learned_span_error_energy_share,learned_complement_error_energy_share
ETTh1,2021,train,0,0.6684352801182664,0.33156471988173364
ETTh1,2021,train,1,0.6656249108285984,0.3343750891714016
ETTh1,2021,train,2,0.6352019474687304,0.3647980525312696
ETTh1,2021,train,3,0.6266428993737132,0.3733571006262868
ETTh1,2021,validation,0,0.7656584281886873,0.23434157181131265
ETTh1,2021,validation,1,0.7260958235659594,0.27390417643404064
ETTh1,2021,validation,2,0.7471354727896555,0.25286452721034447
ETTh1,2021,validation,3,0.72817914485257,0.27182085514743004
ETTh1,2022,train,0,0.6590404426886934,0.34095955731130656
ETTh1,2022,train,1,0.6594296868325187,0.3405703131674813
ETTh1,2022,train,2,0.6329372433857858,0.36706275661421417
ETTh1,2022,train,3,0.6268084121398577,0.3731915878601423
ETTh1,2022,validation,0,0.7480897267791489,0.25191027322085113
ETTh1,2022,validation,1,0.7109454267565459,0.28905457324345407
ETTh1,2022,validation,2,0.7366157383097776,0.26338426169022244
ETTh1,2022,validation,3,0.7102102324153645,0.2897897675846355
ETTh1,2023,train,0,0.6581350800471238,0.34186491995287616
ETTh1,2023,train,1,0.6590216823950545,0.34097831760494546
ETTh1,2023,train,2,0.6263456718598761,0.3736543281401239
ETTh1,2023,train,3,0.6230487706627181,0.37695122933728187
ETTh1,2023,validation,0,0.749660945016116,0.250339054983884
ETTh1,2023,validation,1,0.7084111288154884,0.2915888711845116
ETTh1,2023,validation,2,0.7278640096072531,0.27213599039274694
ETTh1,2023,validation,3,0.70874719240657,0.29125280759343
ETTh2,2021,train,0,0.7073424735815177,0.2926575264184823
ETTh2,2021,train,1,0.7410662116593358,0.25893378834066416
ETTh2,2021,train,2,0.7430541153841833,0.2569458846158167
ETTh2,2021,train,3,0.7260008199032368,0.27399918009676316
ETTh2,2021,validation,0,0.8435211336051102,0.15647886639488984
ETTh2,2021,validation,1,0.8357283667195571,0.16427163328044292
ETTh2,2021,validation,2,0.8416299333513809,0.15837006664861908
ETTh2,2021,validation,3,0.8268830270742948,0.17311697292570516
ETTh2,2022,train,0,0.6477810240319175,0.3522189759680825
ETTh2,2022,train,1,0.681206457031694,0.318793542968306
ETTh2,2022,train,2,0.6845226461729819,0.31547735382701814
ETTh2,2022,train,3,0.6744094403783341,0.32559055962166594
ETTh2,2022,validation,0,0.7811347239985409,0.2188652760014591
ETTh2,2022,validation,1,0.7755067086555376,0.2244932913444624
ETTh2,2022,validation,2,0.8017779963208456,0.19822200367915443
ETTh2,2022,validation,3,0.7730528769559577,0.2269471230440423
ETTh2,2023,train,0,0.6998156430858218,0.3001843569141782
ETTh2,2023,train,1,0.7323705591102168,0.26762944088978324
ETTh2,2023,train,2,0.7422435070639721,0.25775649293602787
ETTh2,2023,train,3,0.7163523782609843,0.2836476217390157
