dataset,horizon,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.32807284593582153,0.36667782068252563,0.3074484169483185,0.36609065532684326,6.708256686509451,0.16038796596928862,False,False
ETTh2,192,0.39477860927581787,0.4088149070739746,0.37734004855155945,0.4069473147392273,4.621444448103862,0.4589273026519569,False,False
ETTh2,336,0.3933616280555725,0.41891714930534363,0.3841150403022766,0.4212876260280609,2.407244388561125,-0.5626741865329299,False,True
ETTh2,720,0.4254184067249298,0.4466906487941742,0.4074031412601471,0.4438471794128418,4.421975100402831,0.6406415345691752,False,False
ETTm1,96,0.295073926448822,0.34965282678604126,0.29047533869743347,0.3442326486110687,1.5831250157103849,1.5745683033966174,False,False
ETTm1,192,0.32602500915527344,0.37100911140441895,0.3377011716365814,0.3733891248703003,-3.4575427810103476,-0.6374083515978346,True,True
ETTm1,336,0.3557837903499603,0.38998278975486755,0.361540287733078,0.3907651901245117,-1.5922146378794855,-0.2002226373835514,True,True
ETTm1,720,0.4111669957637787,0.4216448962688446,0.412788063287735,0.42070141434669495,-0.392711821908065,0.22426402431159342,True,False
Weather,96,0.1486344188451767,0.1978558599948883,0.14708691835403442,0.1950538456439972,1.0520993358617226,1.4365337641202958,False,False
Weather,192,0.1920538991689682,0.23978452384471893,0.19520847499370575,0.24188493192195892,-1.6160035187197996,-0.8683501119936099,True,True
Weather,336,0.2442137897014618,0.2801674008369446,0.25078684091567993,0.28711846470832825,-2.6209713357441045,-2.420974171217083,True,True
Weather,720,0.319922536611557,0.3331310749053955,0.32312721014022827,0.33546921610832214,-0.9917683896941143,-0.69697638133559,True,True
